participant,rt,attention_state,with_triplet_counter,test_part
bbe2c,390.0,fast,1,triggered
bbe2c,382.0,fast,2,triggered
bbe2c,390.0,fast,3,triggered
bbe2c,285.0,fast,1,triggered
bbe2c,255.0,fast,2,triggered
bbe2c,255.0,fast,3,triggered
bbe2c,270.0,fast,1,triggered
bbe2c,234.0,fast,2,triggered
bbe2c,265.0,fast,3,triggered
bbe2c,658.0,slow,1,triggered
bbe2c,589.0,slow,2,triggered
bbe2c,648.0,slow,3,triggered
bbe2c,718.0,slow,1,triggered
bbe2c,747.0,slow,2,triggered
bbe2c,683.0,slow,3,triggered
bbe2c,802.0,slow,1,triggered
bbe2c,739.0,slow,2,triggered
bbe2c,694.0,slow,3,triggered
bbe2c,323.0,fast,1,triggered
bbe2c,248.0,fast,2,triggered
bbe2c,290.0,fast,3,triggered
bbe2c,196.0,fast,1,triggered
bbe2c,246.0,fast,2,triggered
bbe2c,141.0,fast,3,triggered
bbe2c,282.0,fast,1,triggered
bbe2c,265.0,fast,2,triggered
bbe2c,169.0,fast,3,triggered
bbe2c,654.0,slow,1,triggered
bbe2c,729.0,slow,2,triggered
bbe2c,746.0,slow,3,triggered
bbe2c,441.0,slow,1,triggered
bbe2c,510.0,slow,2,triggered
bbe2c,456.0,slow,3,triggered
bbe2c,,fast,1,triggered
bbe2c,181.0,fast,2,triggered
bbe2c,139.0,fast,3,triggered
bbe2c,330.0,fast,1,triggered
bbe2c,390.0,fast,2,triggered
bbe2c,376.0,fast,3,triggered
bbe2c,488.0,slow,1,triggered
bbe2c,652.0,slow,2,triggered
bbe2c,641.0,slow,3,triggered
bbe2c,375.0,fast,1,triggered
bbe2c,370.0,fast,2,triggered
bbe2c,285.0,fast,3,triggered
bbe2c,273.0,slow,1,triggered
bbe2c,153.0,slow,2,triggered
bbe2c,128.0,slow,3,triggered
bbe2c,207.0,fast,1,triggered
bbe2c,123.0,fast,2,triggered
bbe2c,130.0,fast,3,triggered
bbe2c,579.0,slow,1,triggered
bbe2c,640.0,slow,2,triggered
bbe2c,704.0,slow,3,triggered
bbe2c,667.0,slow,1,triggered
bbe2c,648.0,slow,2,triggered
bbe2c,600.0,slow,3,triggered
bbe2c,63.0,fast,1,triggered
bbe2c,61.0,fast,2,triggered
bbe2c,117.0,fast,3,triggered
bbe2c,194.0,fast,1,triggered
bbe2c,215.0,fast,2,triggered
bbe2c,234.0,fast,3,triggered
bbe2c,684.0,slow,1,triggered
bbe2c,724.0,slow,2,triggered
bbe2c,725.0,slow,3,triggered
bbe2c,557.0,slow,1,triggered
bbe2c,606.0,slow,2,triggered
bbe2c,566.0,slow,3,triggered
bbe2c,709.0,slow,1,triggered
bbe2c,625.0,slow,2,triggered
bbe2c,,slow,3,triggered
bbe2c,175.0,fast,1,triggered
bbe2c,114.0,fast,2,triggered
bbe2c,134.0,fast,3,triggered
bbe2c,671.0,slow,1,triggered
bbe2c,710.0,slow,2,triggered
bbe2c,,slow,3,triggered
738bd,547.6,slow,1,triggered
738bd,531.3,slow,2,triggered
738bd,393.0,slow,3,triggered
738bd,597.5,slow,1,triggered
738bd,435.5,slow,2,triggered
738bd,367.9,slow,3,triggered
738bd,483.1,slow,1,triggered
738bd,498.7,slow,2,triggered
738bd,478.1,slow,3,triggered
738bd,273.0,fast,1,triggered
738bd,238.7,fast,2,triggered
738bd,252.2,fast,3,triggered
738bd,348.2,fast,1,triggered
738bd,386.3,fast,2,triggered
738bd,291.5,fast,3,triggered
738bd,254.3,fast,1,triggered
738bd,321.9,fast,2,triggered
738bd,431.3,fast,3,triggered
738bd,536.4,slow,1,triggered
738bd,406.8,slow,2,triggered
738bd,419.7,slow,3,triggered
738bd,207.0,fast,1,triggered
738bd,352.1,fast,2,triggered
738bd,452.8,fast,3,triggered
738bd,377.7,slow,1,triggered
738bd,409.9,slow,2,triggered
738bd,430.2,slow,3,triggered
738bd,271.1,fast,1,triggered
738bd,354.6,fast,2,triggered
738bd,407.3,fast,3,triggered
738bd,257.7,fast,1,triggered
738bd,243.6,fast,2,triggered
738bd,273.3,fast,3,triggered
738bd,309.9,fast,1,triggered
738bd,393.2,fast,2,triggered
738bd,255.8,fast,3,triggered
738bd,577.0,slow,1,triggered
738bd,358.2,slow,2,triggered
738bd,361.3,slow,3,triggered
738bd,461.1,slow,1,triggered
738bd,,slow,2,triggered
738bd,446.9,slow,3,triggered
738bd,440.4,fast,1,triggered
738bd,470.6,fast,2,triggered
738bd,774.9,fast,3,triggered
738bd,595.5,slow,1,triggered
738bd,501.1,slow,2,triggered
738bd,297.9,slow,3,triggered
738bd,491.3,slow,1,triggered
738bd,512.1,slow,2,triggered
738bd,804.5,slow,3,triggered
738bd,219.6,fast,1,triggered
738bd,150.3,fast,2,triggered
738bd,222.8,fast,3,triggered
738bd,283.1,fast,1,triggered
738bd,267.8,fast,2,triggered
738bd,295.6,fast,3,triggered
738bd,434.3,slow,1,triggered
738bd,365.4,slow,2,triggered
738bd,413.5,slow,3,triggered
738bd,368.0,slow,1,triggered
738bd,632.9,slow,2,triggered
738bd,501.6,slow,3,triggered
738bd,662.7,slow,1,triggered
738bd,,slow,2,triggered
738bd,656.9,slow,3,triggered
738bd,398.7,fast,1,triggered
738bd,573.1,fast,2,triggered
738bd,427.1,fast,3,triggered
738bd,78.59999999,fast,1,triggered
738bd,18.8,fast,2,triggered
738bd,595.9,fast,3,triggered
738bd,473.2,slow,1,triggered
738bd,337.8,slow,2,triggered
738bd,411.0,slow,3,triggered
738bd,360.1,slow,1,triggered
738bd,299.3,slow,2,triggered
738bd,384.1,slow,3,triggered
738bd,755.6,slow,1,triggered
738bd,417.7,slow,2,triggered
738bd,513.8,slow,3,triggered
497b8,656.2999999998137,slow,1,triggered
497b8,,slow,2,triggered
497b8,118.79999999981372,slow,3,triggered
497b8,610.5,slow,1,triggered
497b8,497.9000000003725,slow,2,triggered
497b8,426.7999999998138,slow,3,triggered
497b8,495.0,fast,1,triggered
497b8,368.39999999990687,fast,2,triggered
497b8,427.0,fast,3,triggered
497b8,440.89999999990687,slow,1,triggered
497b8,585.2999999998137,slow,2,triggered
497b8,569.8999999999069,slow,3,triggered
497b8,382.8000000002794,fast,1,triggered
497b8,530.8999999999069,fast,2,triggered
497b8,581.7000000001863,fast,3,triggered
497b8,509.39999999990687,fast,1,triggered
497b8,507.7999999998138,fast,2,triggered
497b8,441.60000000009313,fast,3,triggered
497b8,427.4000000003725,slow,1,triggered
497b8,418.10000000009313,slow,2,triggered
497b8,324.09999999962747,slow,3,triggered
497b8,504.5,slow,1,triggered
497b8,279.79999999981374,slow,2,triggered
497b8,543.9000000003724,slow,3,triggered
497b8,484.3000000002794,fast,1,triggered
497b8,449.8000000002794,fast,2,triggered
497b8,415.89999999990687,fast,3,triggered
497b8,88.80000000027941,fast,1,triggered
497b8,126.29999999981372,fast,2,triggered
497b8,252.70000000018624,fast,3,triggered
497b8,398.10000000009313,fast,1,triggered
497b8,295.8000000002794,fast,2,triggered
497b8,469.39999999990687,fast,3,triggered
497b8,528.5,slow,1,triggered
497b8,461.0,slow,2,triggered
497b8,448.1999999997206,slow,3,triggered
497b8,222.60000000009316,fast,1,triggered
497b8,120.60000000009312,fast,2,triggered
497b8,363.2000000001863,fast,3,triggered
497b8,364.2999999998138,fast,1,triggered
497b8,435.2000000001863,fast,2,triggered
497b8,360.7000000001863,fast,3,triggered
497b8,414.7000000001863,slow,1,triggered
497b8,582.8000000002794,slow,2,triggered
497b8,369.6999999997206,slow,3,triggered
497b8,423.5,fast,1,triggered
497b8,304.7000000001862,fast,2,triggered
497b8,218.0,fast,3,triggered
497b8,244.60000000009316,fast,1,triggered
497b8,202.3999999999069,fast,2,triggered
497b8,269.89999999990687,fast,3,triggered
497b8,458.1999999997206,slow,1,triggered
497b8,315.7999999998138,slow,2,triggered
497b8,236.10000000009316,slow,3,triggered
497b8,397.4000000003725,slow,1,triggered
497b8,315.5,slow,2,triggered
497b8,343.0,slow,3,triggered
497b8,357.3000000002794,slow,1,triggered
497b8,553.7000000001863,slow,2,triggered
497b8,421.1999999997206,slow,3,triggered
497b8,254.8999999999069,fast,1,triggered
497b8,280.89999999990687,fast,2,triggered
497b8,300.7999999998138,fast,3,triggered
497b8,285.0,fast,1,triggered
497b8,263.29999999981374,fast,2,triggered
497b8,158.1999999997206,fast,3,triggered
497b8,88.5,fast,1,triggered
497b8,80.60000000009313,fast,2,triggered
497b8,257.10000000009313,fast,3,triggered
497b8,571.5,slow,1,triggered
497b8,471.0,slow,2,triggered
497b8,523.8999999999069,slow,3,triggered
497b8,246.10000000009316,fast,1,triggered
497b8,257.7000000001862,fast,2,triggered
497b8,310.1999999997206,fast,3,triggered
497b8,336.3000000002794,slow,1,triggered
497b8,237.60000000009316,slow,2,triggered
497b8,316.7000000001862,slow,3,triggered
497b8,343.1000000000932,fast,1,triggered
497b8,386.5,fast,2,triggered
497b8,348.5,fast,3,triggered
497b8,380.7999999998138,slow,1,triggered
497b8,423.39999999990687,slow,2,triggered
497b8,331.1999999997206,slow,3,triggered
497b8,391.60000000009313,slow,1,triggered
497b8,,slow,2,triggered
497b8,364.4000000003725,slow,3,triggered
497b8,377.89999999990687,slow,1,triggered
497b8,314.0,slow,2,triggered
497b8,233.8999999999069,slow,3,triggered
497b8,258.29999999981374,fast,1,triggered
497b8,296.5,fast,2,triggered
497b8,359.7999999998138,fast,3,triggered
497b8,197.79999999981374,fast,1,triggered
497b8,230.20000000018624,fast,2,triggered
497b8,287.5,fast,3,triggered
497b8,265.5,fast,1,triggered
497b8,386.9000000003725,fast,2,triggered
497b8,356.89999999990687,fast,3,triggered
497b8,376.7999999998138,slow,1,triggered
497b8,282.8000000002794,slow,2,triggered
497b8,273.09999999962747,slow,3,triggered
497b8,514.1999999997206,slow,1,triggered
497b8,419.60000000009313,slow,2,triggered
497b8,377.2000000001863,slow,3,triggered
497b8,338.2999999998138,fast,1,triggered
497b8,383.10000000009313,fast,2,triggered
497b8,335.3000000002794,fast,3,triggered
497b8,,slow,1,triggered
497b8,477.5,slow,2,triggered
497b8,580.6999999997206,slow,3,triggered
497b8,753.7999999998137,slow,1,triggered
497b8,480.09999999962747,slow,2,triggered
497b8,441.7000000001863,slow,3,triggered
497b8,399.0,slow,1,triggered
497b8,,slow,2,triggered
497b8,332.2000000001862,slow,3,triggered
497b8,166.70000000018626,fast,1,triggered
497b8,241.8000000002794,fast,2,triggered
497b8,111.5,fast,3,triggered
497b8,347.10000000009313,slow,1,triggered
497b8,273.10000000009313,slow,2,triggered
497b8,253.5,slow,3,triggered
497b8,314.6000000000932,fast,1,triggered
497b8,256.79999999981374,fast,2,triggered
497b8,282.09999999962747,fast,3,triggered
497b8,161.8000000002794,fast,1,triggered
497b8,258.79999999981374,fast,2,triggered
497b8,415.4000000003725,fast,3,triggered
497b8,540.4000000003724,slow,1,triggered
497b8,506.7999999998138,slow,2,triggered
497b8,417.60000000009313,slow,3,triggered
497b8,224.8999999999069,fast,1,triggered
497b8,299.59999999962747,fast,2,triggered
497b8,288.8000000002794,fast,3,triggered
497b8,110.19999999972059,fast,1,triggered
497b8,66.8000000002794,fast,2,triggered
497b8,63.799999999813735,fast,3,triggered
497b8,165.3000000002794,fast,1,triggered
497b8,95.60000000009312,fast,2,triggered
497b8,90.60000000009312,fast,3,triggered
1a97d,801.5999999046326,slow,1,triggered
1a97d,700.9000000953674,slow,2,triggered
1a97d,,slow,3,triggered
1a97d,665.5999999046327,fast,1,triggered
1a97d,616.3999996185303,fast,2,triggered
1a97d,577.0,fast,3,triggered
1a97d,412.0,fast,1,triggered
1a97d,498.19999980926514,fast,2,triggered
1a97d,434.59999990463257,fast,3,triggered
1a97d,587.1999998092651,slow,1,triggered
1a97d,553.9000000953673,slow,2,triggered
1a97d,611.7000002861022,slow,3,triggered
1a97d,394.30000019073486,fast,1,triggered
1a97d,360.4000000953674,fast,2,triggered
1a97d,432.5,fast,3,triggered
1a97d,,slow,1,triggered
1a97d,382.59999990463257,slow,2,triggered
1a97d,341.09999990463257,slow,3,triggered
1a97d,340.90000009536743,fast,1,triggered
1a97d,581.5999999046327,fast,2,triggered
1a97d,488.4000000953674,fast,3,triggered
1a97d,642.3000001907349,slow,1,triggered
1a97d,423.4000000953674,slow,2,triggered
1a97d,377.30000019073486,slow,3,triggered
1a97d,551.8000001907349,fast,1,triggered
1a97d,520.9000000953673,fast,2,triggered
1a97d,452.69999980926514,fast,3,triggered
1a97d,343.80000019073486,fast,1,triggered
1a97d,495.9000000953674,fast,2,triggered
1a97d,374.19999980926514,fast,3,triggered
1a97d,468.7000002861023,fast,1,triggered
1a97d,379.5,fast,2,triggered
