participant,trial_type,final_triplet,final_x_location,triplet_sequence,ind_correct,correct,chance
00b10,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png,13,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png,1,0,0.16666666666666666
00b10,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png,121,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png,0,0,0.16666666666666666
00b10,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png,213,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png,0,0,0.16666666666666666
00b10,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png,33,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png,0,0,0.16666666666666666
00b10,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png,117,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png,0,0,0.16666666666666666
00b10,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png,200,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png,1,0,0.16666666666666666
025ce,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png,77,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png,1,0,0.16666666666666666
025ce,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png,152,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png,0,0,0.16666666666666666
025ce,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png,210,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png,0,0,0.16666666666666666
025ce,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png,54,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png,0,0,0.16666666666666666
025ce,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png,129,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png,0,0,0.16666666666666666
025ce,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png,201,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png,0,0,0.16666666666666666
