participant,rt,init_locations,final_locations,trial_type,fast_triplet,slow_triplet
bbe2c,33278.0,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""x"":143,""y"":24},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""x"":226,""y"":23},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""x"":53,""y"":24}]",free-sort,"['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png']"
bbe2c,14258.0,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":219,""y"":17},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""x"":133,""y"":12},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""x"":62,""y"":17}]",free-sort,,
738bd,13982.7,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""x"":36,""y"":18},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":124,""y"":19},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""x"":231,""y"":13}]",free-sort,"['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png']"
738bd,9801.0,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""x"":134,""y"":35},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""x"":23,""y"":18},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""x"":253,""y"":18}]",free-sort,,
497b8,17266.599999999627,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""x"":28,""y"":16},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""x"":224,""y"":41},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""x"":111,""y"":15}]",free-sort,"['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png']"
497b8,9301.400000000373,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""x"":240,""y"":15},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""x"":113,""y"":22},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""x"":27,""y"":21}]",free-sort,,
1a97d,16418.400000095367,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""x"":51,""y"":6},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""x"":113,""y"":23},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""x"":202,""y"":7}]",free-sort,"['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png']"
1a97d,8545.099999904633,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""x"":120,""y"":30},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""x"":235,""y"":33},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""x"":36,""y"":33}]",free-sort,,
73da5,20100.79999995232,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""x"":134,""y"":29},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""x"":18,""y"":49},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""x"":244,""y"":21}]",free-sort,"['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png']"
73da5,6709.400000035763,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""x"":36,""y"":35},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""x"":130,""y"":25},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""x"":226,""y"":36}]",free-sort,,
