"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","6682","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","15906","0.0-1.0","9085","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","45479","0.0-2.0","29571","","[{""page_index"":0,""viewing_time"":2937},{""page_index"":1,""viewing_time"":12066},{""page_index"":2,""viewing_time"":12597},{""page_index"":3,""viewing_time"":1971}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","50698","0.0-3.0-0.0-0.0","5217","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","55261","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":342},{""stimulus"":""blank"",""time"":651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":682},{""stimulus"":""blank"",""time"":990},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1036},{""stimulus"":""blank"",""time"":1344},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":1390},{""stimulus"":""blank"",""time"":1699},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1731},{""stimulus"":""blank"",""time"":2038},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2084},{""stimulus"":""blank"",""time"":2391},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2438},{""stimulus"":""blank"",""time"":2745},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2792},{""stimulus"":""blank"",""time"":3100},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3146},{""stimulus"":""blank"",""time"":3455},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3501},{""stimulus"":""blank"",""time"":3809},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3856},{""stimulus"":""blank"",""time"":4164},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":4210},{""stimulus"":""blank"",""time"":4518}]","[{""key_press"":32,""rt"":2082,""stimulus"":""blank""}]","351","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","60148","0.0-3.0-0.0-2.0","4886","","","<p>Your reaction time for this trial was 351 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","63685","0.0-3.0-1.0-0.0","3536","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","68259","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":341},{""stimulus"":""blank"",""time"":651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":681},{""stimulus"":""blank"",""time"":990},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1036},{""stimulus"":""blank"",""time"":1343},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1389},{""stimulus"":""blank"",""time"":1696},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1743},{""stimulus"":""blank"",""time"":2050},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2096},{""stimulus"":""blank"",""time"":2404},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2450},{""stimulus"":""blank"",""time"":2758},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2804},{""stimulus"":""blank"",""time"":3112},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3158},{""stimulus"":""blank"",""time"":3466},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3512},{""stimulus"":""blank"",""time"":3819},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3866},{""stimulus"":""blank"",""time"":4174},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4221},{""stimulus"":""blank"",""time"":4528}]","[{""key_press"":32,""rt"":2780,""stimulus"":""blank""}]","330","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","72558","0.0-3.0-1.0-2.0","4298","","","<p>Your reaction time for this trial was 330 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","78835","0.0-3.0-2.0-0.0","6275","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
