"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2488","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","6448","0.0-1.0","3821.399999856949","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","27232","0.0-2.0","20780.39999985695","","[{""page_index"":0,""viewing_time"":2263},{""page_index"":1,""viewing_time"":5465.599999904633},{""page_index"":2,""viewing_time"":11184.299999952316},{""page_index"":3,""viewing_time"":1866.3000001907349}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","33737","0.0-3.0-0.0-0.0","6502.799999952316","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","38164","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":351.39999985694885},{""stimulus"":""blank"",""time"":652},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":684.3999998569489},{""stimulus"":""blank"",""time"":989.6999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1026},{""stimulus"":""blank"",""time"":1331.1999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1363.7999999523163},{""stimulus"":""blank"",""time"":1664.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1701.8999998569489},{""stimulus"":""blank"",""time"":2003.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2044.1999998092651},{""stimulus"":""blank"",""time"":2344.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2385.899999856949},{""stimulus"":""blank"",""time"":2691.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2725.7999999523163},{""stimulus"":""blank"",""time"":3026.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3061.7999999523163},{""stimulus"":""blank"",""time"":3362.899999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3402.2999999523163},{""stimulus"":""blank"",""time"":3704},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3744.199999809265},{""stimulus"":""blank"",""time"":4049.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":4084.399999856949},{""stimulus"":""blank"",""time"":4387.599999904633}]","[]","NaN","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","46261","0.0-3.0-0.0-2.0","8091.599999904633","","","<p>Your reaction time for this trial was NaN ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","48464","0.0-3.0-1.0-0.0","2200.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","52887","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":345.5},{""stimulus"":""blank"",""time"":650.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":683.7999999523163},{""stimulus"":""blank"",""time"":987.6999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1023.6999998092651},{""stimulus"":""blank"",""time"":1323.8999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1365.8999998569489},{""stimulus"":""blank"",""time"":1666.1999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1706.1999998092651},{""stimulus"":""blank"",""time"":2006.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2042.0999999046326},{""stimulus"":""blank"",""time"":2346.899999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2383.7999999523163},{""stimulus"":""blank"",""time"":2684.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2724.5},{""stimulus"":""blank"",""time"":3025},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3065.5},{""stimulus"":""blank"",""time"":3369.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3406.199999809265},{""stimulus"":""blank"",""time"":3711.399999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3742.199999809265},{""stimulus"":""blank"",""time"":4047.399999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":4083.899999856949},{""stimulus"":""blank"",""time"":4387.699999809265}]","[]","NaN","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","56134","0.0-3.0-1.0-2.0","3244.100000143051","","","<p>Your reaction time for this trial was NaN ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","58427","0.0-3.0-2.0-0.0","2290.600000143051","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","13","","","","","","","","","","","","","","","","","",""
