"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3982","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","96161","0.0-1.0","91912.20000001788","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","152351","0.0-2.0","56184.90000000596","","[{""page_index"":0,""viewing_time"":3950.300000011921},{""page_index"":1,""viewing_time"":28509.79999998212},{""page_index"":2,""viewing_time"":1853.6000000238419},{""page_index"":1,""viewing_time"":2240.699999988079},{""page_index"":2,""viewing_time"":16373.800000011921},{""page_index"":3,""viewing_time"":3256.0999999940395}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","161912","0.0-3.0-0.0-0.0","9560.59999999404","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","166334","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":347.2000000178814},{""stimulus"":""blank"",""time"":648.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":681.4000000059605},{""stimulus"":""blank"",""time"":982},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1022.3000000119209},{""stimulus"":""blank"",""time"":1323.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1361.6000000238419},{""stimulus"":""blank"",""time"":1662.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1701.5},{""stimulus"":""blank"",""time"":2002.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2041.800000011921},{""stimulus"":""blank"",""time"":2343.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2382.100000023842},{""stimulus"":""blank"",""time"":2683.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2721},{""stimulus"":""blank"",""time"":3021.7000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3061.4000000059605},{""stimulus"":""blank"",""time"":3361.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3402},{""stimulus"":""blank"",""time"":3703.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3741.7000000178814},{""stimulus"":""blank"",""time"":4042.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4081.300000011921},{""stimulus"":""blank"",""time"":4382.200000017881}]","[]","NaN","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","172972","0.0-3.0-0.0-2.0","6632","","","<p>Your reaction time for this trial was NaN ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","182380","0.0-3.0-1.0-0.0","9406.800000011921","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","186801","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":341.80000001192093},{""stimulus"":""blank"",""time"":653.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":681.4000000059605},{""stimulus"":""blank"",""time"":982.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1022.3000000119209},{""stimulus"":""blank"",""time"":1323.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1362.2000000178814},{""stimulus"":""blank"",""time"":1663.7000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1700.9000000059605},{""stimulus"":""blank"",""time"":2001.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2040.800000011921},{""stimulus"":""blank"",""time"":2341.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2381.5},{""stimulus"":""blank"",""time"":2682.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2721.2000000178814},{""stimulus"":""blank"",""time"":3022.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3061.800000011921},{""stimulus"":""blank"",""time"":3362.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3401.800000011921},{""stimulus"":""blank"",""time"":3703.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3741.0999999940395},{""stimulus"":""blank"",""time"":4042.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4081.5},{""stimulus"":""blank"",""time"":4382}]","[{""key_press"":32,""rt"":2061,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png""}]","360.09999999403954","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","192139","0.0-3.0-1.0-2.0","5334.199999988079","","","<p>Your reaction time for this trial was 360.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","195427","0.0-3.0-2.0-0.0","3286.7000000178814","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","199848","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":342.2000000178814},{""stimulus"":""blank"",""time"":643.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":682.6000000238419},{""stimulus"":""blank"",""time"":983.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1021.4000000059605},{""stimulus"":""blank"",""time"":1322.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1361.1000000238419},{""stimulus"":""blank"",""time"":1662.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1701},{""stimulus"":""blank"",""time"":2001.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2041.1000000238419},{""stimulus"":""blank"",""time"":2341.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2382.300000011921},{""stimulus"":""blank"",""time"":2683.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2721.100000023842},{""stimulus"":""blank"",""time"":3021.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3061.9000000059605},{""stimulus"":""blank"",""time"":3362.7000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3400.800000011921},{""stimulus"":""blank"",""time"":3701.7000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3742},{""stimulus"":""blank"",""time"":4042.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4081.800000011921},{""stimulus"":""blank"",""time"":4382.600000023842}]","[{""key_press"":32,""rt"":2048.5999999940395,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png""}]","347.59999999403954","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","205751","0.0-3.0-2.0-2.0","5899.5999999940395","","","<p>Your reaction time for this trial was 347.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","209134","0.0-4.0","3383.199999988079","","[{""page_index"":0,""viewing_time"":3382.9000000059605}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","215444","0.0-5.0-0.0-0.0","6308.800000011921","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","13","","","","","","","","","","","","","","","","","",""
