"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","11499","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","16674","0.0-1.0","4959.5","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","39545","0.0-2.0","22860.099999964237","","[{""page_index"":0,""viewing_time"":1946},{""page_index"":1,""viewing_time"":11413.099999964237},{""page_index"":2,""viewing_time"":8183.900000035763},{""page_index"":3,""viewing_time"":1315}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","44457","0.0-3.0-0.0-0.0","4909.199999988079","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","48881","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":360.80000001192093},{""stimulus"":""blank"",""time"":672.8000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":682.3000000119209},{""stimulus"":""blank"",""time"":985.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1022.1999999880791},{""stimulus"":""blank"",""time"":1325.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1367.6000000238419},{""stimulus"":""blank"",""time"":1707.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1708.5},{""stimulus"":""blank"",""time"":2031.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2052.399999976158},{""stimulus"":""blank"",""time"":2362.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2381},{""stimulus"":""blank"",""time"":2686.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2721.300000011921},{""stimulus"":""blank"",""time"":3053},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3061.399999976158},{""stimulus"":""blank"",""time"":3389.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3401.699999988079},{""stimulus"":""blank"",""time"":3722.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3741.5},{""stimulus"":""blank"",""time"":4056.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":4081.699999988079},{""stimulus"":""blank"",""time"":4390.800000011921}]","[{""key_press"":32,""rt"":2921.5,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png""}]","540.5","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","53131","0.0-3.0-0.0-2.0","4239.899999976158","","","<p>Your reaction time for this trial was 540.5 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","58526","0.0-3.0-1.0-0.0","5393.100000023842","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","62947","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":353.69999998807907},{""stimulus"":""blank"",""time"":664.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":681.6000000238419},{""stimulus"":""blank"",""time"":1006.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1020.8000000119209},{""stimulus"":""blank"",""time"":1349.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1363.8999999761581},{""stimulus"":""blank"",""time"":1672.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1702.1000000238419},{""stimulus"":""blank"",""time"":2016.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2048.199999988079},{""stimulus"":""blank"",""time"":2385},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2385.600000023842},{""stimulus"":""blank"",""time"":2704.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2727},{""stimulus"":""blank"",""time"":3040.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3061.399999976158},{""stimulus"":""blank"",""time"":3364.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3411.399999976158},{""stimulus"":""blank"",""time"":3722.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3741.100000023842},{""stimulus"":""blank"",""time"":4070.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":4081.600000023842},{""stimulus"":""blank"",""time"":4385.100000023842}]","[{""key_press"":32,""rt"":2131.100000023842,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png""}]","429","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","66071","0.0-3.0-1.0-2.0","3119.899999976158","","","<p>Your reaction time for this trial was 429 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","68559","0.0-3.0-2.0-0.0","2487.899999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png","13","","","","","","","","","","","","","","","","","",""
