"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","4541","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","15208","0.0-1.0","10560.699999928474","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","37269","0.0-2.0","22056.099999904633","","[{""page_index"":0,""viewing_time"":2601.7999999523163},{""page_index"":1,""viewing_time"":8693.5},{""page_index"":2,""viewing_time"":8895.899999976158},{""page_index"":3,""viewing_time"":1864.3999999761581}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","42439","0.0-3.0-0.0-0.0","5169.799999952316","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","46862","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":413.39999997615814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":681.6000000238419},{""stimulus"":""blank"",""time"":717.2000000476837},{""stimulus"":""blank"",""time"":982.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1030.8999999761581},{""stimulus"":""blank"",""time"":1344},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1367.5},{""stimulus"":""blank"",""time"":1674.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1702.1000000238419},{""stimulus"":""blank"",""time"":2005.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2041.1000000238419},{""stimulus"":""blank"",""time"":2350.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2382.600000023842},{""stimulus"":""blank"",""time"":2698.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2730},{""stimulus"":""blank"",""time"":3032},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3062.100000023842},{""stimulus"":""blank"",""time"":3378.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3402.2000000476837},{""stimulus"":""blank"",""time"":3711.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3741.7000000476837},{""stimulus"":""blank"",""time"":4057.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":4081.7999999523163},{""stimulus"":""blank"",""time"":4390}]","[{""key_press"":32,""rt"":1094,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png""},{""key_press"":32,""rt"":2816.7000000476837,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png""}]","434.10000002384186","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","51121","0.0-3.0-0.0-2.0","4255.299999952316","","","<p>Your reaction time for this trial was 434.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","54400","0.0-3.0-1.0-0.0","3278.399999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","58822","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":345.39999997615814},{""stimulus"":""blank"",""time"":659.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":681.1000000238419},{""stimulus"":""blank"",""time"":990.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1020.8999999761581},{""stimulus"":""blank"",""time"":1336.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1368.1000000238419},{""stimulus"":""blank"",""time"":1683.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1714.3000000715256},{""stimulus"":""blank"",""time"":2014.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2046.3000000715256},{""stimulus"":""blank"",""time"":2362.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2381.7000000476837},{""stimulus"":""blank"",""time"":2694.3000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2721.3000000715256},{""stimulus"":""blank"",""time"":3024.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3070.7000000476837},{""stimulus"":""blank"",""time"":3386.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3402.100000023842},{""stimulus"":""blank"",""time"":3718},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3750.2000000476837},{""stimulus"":""blank"",""time"":4064.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4081.399999976158},{""stimulus"":""blank"",""time"":4395.700000047684}]","[{""key_press"":32,""rt"":1733.6000000238419,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png""}]","365.5","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","61351","0.0-3.0-1.0-2.0","2527.8000000715256","","","<p>Your reaction time for this trial was 365.5 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","63937","0.0-3.0-2.0-0.0","2584.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","13","","","","","","","","","","","","","","","","","",""
