"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2120","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","6313","0.0-1.0","4110.9000000059605","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","24607","0.0-2.0","18293.70000000298","","[{""page_index"":0,""viewing_time"":1493.7000000029802},{""page_index"":1,""viewing_time"":7556.79999999702},{""page_index"":2,""viewing_time"":7944.89999999851},{""page_index"":3,""viewing_time"":1298}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","29054","0.0-3.0-0.0-0.0","4445.79999999702","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","33479","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":361.79999999701977},{""stimulus"":""blank"",""time"":668.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":681.5999999940395},{""stimulus"":""blank"",""time"":982.8999999985099},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1029.5},{""stimulus"":""blank"",""time"":1342.3999999985099},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1374.5},{""stimulus"":""blank"",""time"":1690.3999999985099},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1706.5},{""stimulus"":""blank"",""time"":2007.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2041.2999999970198},{""stimulus"":""blank"",""time"":2352.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2384.7999999970198},{""stimulus"":""blank"",""time"":2697.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2728.7999999970198},{""stimulus"":""blank"",""time"":3042.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3061.5},{""stimulus"":""blank"",""time"":3373.6999999955297},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3401},{""stimulus"":""blank"",""time"":3715.6999999955297},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3741.2999999970198},{""stimulus"":""blank"",""time"":4044.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":4081.6999999955297},{""stimulus"":""blank"",""time"":4392.29999999702}]","[{""key_press"":32,""rt"":1692.2999999970198,""stimulus"":""blank""}]","317.79999999701977","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","38751","0.0-3.0-0.0-2.0","5270.79999999702","","","<p>Your reaction time for this trial was 317.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","43077","0.0-3.0-1.0-0.0","4325.39999999851","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","47499","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":341.79999999701977},{""stimulus"":""blank"",""time"":658},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":690.1999999955297},{""stimulus"":""blank"",""time"":1001.1999999955297},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1032.3999999985099},{""stimulus"":""blank"",""time"":1343.6000000014901},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":1361},{""stimulus"":""blank"",""time"":1673.6000000014901},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1700.8999999985099},{""stimulus"":""blank"",""time"":2015.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2047.1999999955297},{""stimulus"":""blank"",""time"":2359.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2391.10000000149},{""stimulus"":""blank"",""time"":2700.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2720.5},{""stimulus"":""blank"",""time"":3031},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3063},{""stimulus"":""blank"",""time"":3379.10000000149},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3410.1999999955297},{""stimulus"":""blank"",""time"":3725.60000000149},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3741.6999999955297},{""stimulus"":""blank"",""time"":4055.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4087.89999999851},{""stimulus"":""blank"",""time"":4401.39999999851}]","[{""key_press"":32,""rt"":2341.10000000149,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png""},{""key_press"":32,""rt"":2942.1999999955297,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png""}]","551.0999999940395","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","49832","0.0-3.0-1.0-2.0","2332.1999999955297","","","<p>Your reaction time for this trial was 551.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","52851","0.0-3.0-2.0-0.0","3018.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png","13","","","","","","","","","","","","","","","","","",""
