"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2375","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","9356","0.0-1.0","6938.29999999702","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","28828","0.0-2.0","19469.29999999702","","[{""page_index"":0,""viewing_time"":1939.1999999955297},{""page_index"":1,""viewing_time"":6945.89999999851},{""page_index"":2,""viewing_time"":8027.70000000298},{""page_index"":3,""viewing_time"":2555.7000000029802}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","35033","0.0-3.0-0.0-0.0","6204.10000000149","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","39455","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":353.19999999552965},{""stimulus"":""blank"",""time"":655.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":680.7999999970198},{""stimulus"":""blank"",""time"":981.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1021.7999999970198},{""stimulus"":""blank"",""time"":1322.6999999955297},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1362.5},{""stimulus"":""blank"",""time"":1663},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1701.5},{""stimulus"":""blank"",""time"":2006},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2044.2999999970198},{""stimulus"":""blank"",""time"":2345.89999999851},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2381.6999999955297},{""stimulus"":""blank"",""time"":2683},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2720.6999999955297},{""stimulus"":""blank"",""time"":3022.1999999955297},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3064},{""stimulus"":""blank"",""time"":3366.6999999955297},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3403.1999999955297},{""stimulus"":""blank"",""time"":3708},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3741.89999999851},{""stimulus"":""blank"",""time"":4042.89999999851},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":4082.2999999970198},{""stimulus"":""blank"",""time"":4382.39999999851}]","[{""key_press"":32,""rt"":779.7000000029802,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""}]","426.5000000074506","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","45145","0.0-3.0-0.0-2.0","5686.20000000298","","","<p>Your reaction time for this trial was 426.5 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","49121","0.0-3.0-1.0-0.0","3975.10000000149","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","53547","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":341.90000000596046},{""stimulus"":""blank"",""time"":644.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":681.2000000029802},{""stimulus"":""blank"",""time"":982.1000000014901},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1022.9000000059605},{""stimulus"":""blank"",""time"":1325.7000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1362.1000000014901},{""stimulus"":""blank"",""time"":1666.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1701.9000000059605},{""stimulus"":""blank"",""time"":2002.1000000014901},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2041.8000000044703},{""stimulus"":""blank"",""time"":2342.3000000044703},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2382.3000000044703},{""stimulus"":""blank"",""time"":2683.10000000149},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2721.7000000029802},{""stimulus"":""blank"",""time"":3025.60000000149},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":3064},{""stimulus"":""blank"",""time"":3366.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3402.10000000149},{""stimulus"":""blank"",""time"":3704.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":3742.2000000029802},{""stimulus"":""blank"",""time"":4045.2000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":4084.3000000044703},{""stimulus"":""blank"",""time"":4385.4000000059605}]","[{""key_press"":32,""rt"":2715.60000000149,""stimulus"":""blank""}]","333.29999999701977","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","57387","0.0-3.0-1.0-2.0","3838.3000000044703","","","<p>Your reaction time for this trial was 333.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","61093","0.0-3.0-2.0-0.0","3704.89999999851","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","13","","","","","","","","","","","","","","","","","",""
