"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2513","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","8182","0.0-1.0","5532","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","32572","0.0-2.0","24370.800000000745","","[{""page_index"":0,""viewing_time"":1816.4000000022352},{""page_index"":1,""viewing_time"":12647.599999997765},{""page_index"":2,""viewing_time"":7756.800000000745},{""page_index"":3,""viewing_time"":2147.89999999851}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","36331","0.0-3.0-0.0-0.0","3755.400000002235","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","40757","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":370.5999999977648},{""stimulus"":""blank"",""time"":671.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":682.3999999985099},{""stimulus"":""blank"",""time"":982.8000000007451},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1022.8999999985099},{""stimulus"":""blank"",""time"":1323.5999999977648},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1362.800000000745},{""stimulus"":""blank"",""time"":1663.3999999985099},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1702.300000000745},{""stimulus"":""blank"",""time"":2003.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2042.300000000745},{""stimulus"":""blank"",""time"":2343.699999999255},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2382.699999999255},{""stimulus"":""blank"",""time"":2683.89999999851},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2722.39999999851},{""stimulus"":""blank"",""time"":3022.699999999255},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":3062.39999999851},{""stimulus"":""blank"",""time"":3363.099999997765},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3402.39999999851},{""stimulus"":""blank"",""time"":3703.39999999851},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3742.300000000745},{""stimulus"":""blank"",""time"":4042.699999999255},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4082},{""stimulus"":""blank"",""time"":4382.800000000745}]","[]","NaN","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","49537","0.0-3.0-0.0-2.0","8768.699999999255","","","<p>Your reaction time for this trial was NaN ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","53677","0.0-3.0-1.0-0.0","4137.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","58100","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":341.9000000022352},{""stimulus"":""blank"",""time"":642.4000000022352},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":681.5},{""stimulus"":""blank"",""time"":982},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1021.7000000029802},{""stimulus"":""blank"",""time"":1322.6000000014901},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1361.4000000022352},{""stimulus"":""blank"",""time"":1662},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1701.300000000745},{""stimulus"":""blank"",""time"":2001.800000000745},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2041.7000000029802},{""stimulus"":""blank"",""time"":2342.60000000149},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2381.5},{""stimulus"":""blank"",""time"":2682.400000002235},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2721.900000002235},{""stimulus"":""blank"",""time"":3022.7000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3061.60000000149},{""stimulus"":""blank"",""time"":3362.400000002235},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3403.5},{""stimulus"":""blank"",""time"":3704},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3741.2000000029802},{""stimulus"":""blank"",""time"":4041.900000002235},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":4081.7000000029802},{""stimulus"":""blank"",""time"":4382.10000000149}]","[{""key_press"":32,""rt"":2455.5,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png""}]","413.79999999701977","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","62214","0.0-3.0-1.0-2.0","4106.599999997765","","","<p>Your reaction time for this trial was 413.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","65926","0.0-3.0-2.0-0.0","3709.2999999970198","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
