"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","8982","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","13531","0.0-1.0","4426.400000095367","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","48003","0.0-2.0","34468.700000047684","","[{""page_index"":0,""viewing_time"":2964},{""page_index"":1,""viewing_time"":19344.5},{""page_index"":2,""viewing_time"":9743.700000047684},{""page_index"":3,""viewing_time"":2416.100000023842}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","57875","0.0-3.0-0.0-0.0","9871.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","62297","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":347.5},{""stimulus"":""blank"",""time"":647.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":680.8999999761581},{""stimulus"":""blank"",""time"":982.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1021.1000000238419},{""stimulus"":""blank"",""time"":1322.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1361.1000000238419},{""stimulus"":""blank"",""time"":1661.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1700.8999999761581},{""stimulus"":""blank"",""time"":2001.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2040.7999999523163},{""stimulus"":""blank"",""time"":2342.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2380.7999999523163},{""stimulus"":""blank"",""time"":2681.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2720.899999976158},{""stimulus"":""blank"",""time"":3021.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3060.6999999284744},{""stimulus"":""blank"",""time"":3361.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3400.7999999523163},{""stimulus"":""blank"",""time"":3701.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3741.600000023842},{""stimulus"":""blank"",""time"":4042.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":4081.6999999284744},{""stimulus"":""blank"",""time"":4382.600000023842}]","[{""key_press"":32,""rt"":4221,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png""}]","479.39999997615814","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","70523","0.0-3.0-0.0-2.0","8223.5","","","<p>Your reaction time for this trial was 479.4 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","74842","0.0-3.0-1.0-0.0","4319","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","79263","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":341.8000000715256},{""stimulus"":""blank"",""time"":642.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":681.7000000476837},{""stimulus"":""blank"",""time"":982.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1021.1000000238419},{""stimulus"":""blank"",""time"":1322},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1361.3000000715256},{""stimulus"":""blank"",""time"":1662},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1702.2000000476837},{""stimulus"":""blank"",""time"":2003.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2041.2000000476837},{""stimulus"":""blank"",""time"":2353.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2380.7000000476837},{""stimulus"":""blank"",""time"":2681.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2720.8000000715256},{""stimulus"":""blank"",""time"":3021.8000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3060.9000000953674},{""stimulus"":""blank"",""time"":3361.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3400.7000000476837},{""stimulus"":""blank"",""time"":3701.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3741.2000000476837},{""stimulus"":""blank"",""time"":4042.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4080.5},{""stimulus"":""blank"",""time"":4381.400000095367}]","[{""key_press"":32,""rt"":2479.8000000715256,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png""}]","438.60000002384186","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","86122","0.0-3.0-1.0-2.0","6858.299999952316","","","<p>Your reaction time for this trial was 438.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","93987","0.0-3.0-2.0-0.0","7863.399999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","13","","","","","","","","","","","","","","","","","",""
