"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","8486","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","14917","0.0-1.0","6311.800000000003","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","92512","0.0-2.0","77590.8","","[{""page_index"":0,""viewing_time"":3985.5000000000146},{""page_index"":1,""viewing_time"":21586.79999999999},{""page_index"":2,""viewing_time"":49559.399999999994},{""page_index"":3,""viewing_time"":2458}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","100751","0.0-3.0-0.0-0.0","8237.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","105176","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":355.5},{""stimulus"":""blank"",""time"":658.3999999999942},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":681.8000000000175},{""stimulus"":""blank"",""time"":987.1000000000058},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1024.1000000000058},{""stimulus"":""blank"",""time"":1329},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1361.3000000000175},{""stimulus"":""blank"",""time"":1662.3999999999942},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1704.2000000000116},{""stimulus"":""blank"",""time"":2006.8999999999942},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2043.8000000000175},{""stimulus"":""blank"",""time"":2349.100000000006},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2386.3000000000175},{""stimulus"":""blank"",""time"":2687},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2725.100000000006},{""stimulus"":""blank"",""time"":3030},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3061.899999999994},{""stimulus"":""blank"",""time"":3363.2000000000116},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3404.3000000000175},{""stimulus"":""blank"",""time"":3706},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3743.8000000000175},{""stimulus"":""blank"",""time"":4049.2000000000116},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":4086.399999999994},{""stimulus"":""blank"",""time"":4389.700000000012}]","[{""key_press"":32,""rt"":4163,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png""}]","419.19999999998254","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","110276","0.0-3.0-0.0-2.0","5094.600000000006","","","<p>Your reaction time for this trial was 419.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","115960","0.0-3.0-1.0-0.0","5682.399999999994","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","120382","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":344.19999999998254},{""stimulus"":""blank"",""time"":648.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":684},{""stimulus"":""blank"",""time"":984.3999999999942},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1021},{""stimulus"":""blank"",""time"":1326.3999999999942},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1364.8999999999942},{""stimulus"":""blank"",""time"":1669},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1701.8999999999942},{""stimulus"":""blank"",""time"":2002.5999999999767},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2045.8999999999942},{""stimulus"":""blank"",""time"":2348.899999999994},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2381},{""stimulus"":""blank"",""time"":2681.6999999999825},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2721.2999999999884},{""stimulus"":""blank"",""time"":3022.6999999999825},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3062.0999999999767},{""stimulus"":""blank"",""time"":3363.2999999999884},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3401.399999999994},{""stimulus"":""blank"",""time"":3701.6999999999825},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3741.5},{""stimulus"":""blank"",""time"":4042.5999999999767},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":4084},{""stimulus"":""blank"",""time"":4384.399999999994}]","[{""key_press"":32,""rt"":2686.100000000006,""stimulus"":""blank""}]","305.1000000000058","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","124617","0.0-3.0-1.0-2.0","4233.299999999988","","","<p>Your reaction time for this trial was 305.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","126951","0.0-3.0-2.0-0.0","2332.7000000000116","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","131372","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":341.5999999999767},{""stimulus"":""blank"",""time"":646.8999999999942},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":680.7999999999884},{""stimulus"":""blank"",""time"":986.1999999999825},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1021.5},{""stimulus"":""blank"",""time"":1322.1999999999825},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1360.8999999999942},{""stimulus"":""blank"",""time"":1663},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1703.5},{""stimulus"":""blank"",""time"":2006.5999999999767},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2045.8999999999942},{""stimulus"":""blank"",""time"":2348.2999999999884},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2381},{""stimulus"":""blank"",""time"":2684.1999999999825},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2722.6999999999825},{""stimulus"":""blank"",""time"":3023.5999999999767},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3061.1999999999825},{""stimulus"":""blank"",""time"":3362.399999999994},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3403.5},{""stimulus"":""blank"",""time"":3706.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3741.0999999999767},{""stimulus"":""blank"",""time"":4045.1999999999825},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":4085.0999999999767},{""stimulus"":""blank"",""time"":4386.5}]","[{""key_press"":32,""rt"":2749,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png""}]","368","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","133936","0.0-3.0-2.0-2.0","2561.8000000000175","","","<p>Your reaction time for this trial was 368 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","136246","0.0-4.0","2309","","[{""page_index"":0,""viewing_time"":2308.5}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","138832","0.0-5.0-0.0-0.0","2585.3000000000175","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png","13","","","","","","","","","","","","","","","","","",""
