"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","6393","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","31946","0.0-1.0","25401.76000003703","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","70646","0.0-2.0","38694.73500002641","","[{""page_index"":0,""viewing_time"":3276.1699999682605},{""page_index"":1,""viewing_time"":17903.69000006467},{""page_index"":2,""viewing_time"":14633.59500002116},{""page_index"":3,""viewing_time"":2880.3899999475107}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","86865","0.0-3.0-0.0-0.0","16216.039999970235","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","91291","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":346.2099999887869},{""stimulus"":""blank"",""time"":650.4450000356883},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":681.2500000232831},{""stimulus"":""blank"",""time"":983.2600000081584},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1021.8449999811128},{""stimulus"":""blank"",""time"":1324.735000031069},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1361.559999990277},{""stimulus"":""blank"",""time"":1662.6799999503419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1703.525000018999},{""stimulus"":""blank"",""time"":2004.4350000098348},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2043.4100000420585},{""stimulus"":""blank"",""time"":2345.6950000254437},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2382.274999981746},{""stimulus"":""blank"",""time"":2685.0000000558794},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2721.7749999836087},{""stimulus"":""blank"",""time"":3025.5350000225008},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3061.6650000447407},{""stimulus"":""blank"",""time"":3362.014999962412},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3404.9850000301376},{""stimulus"":""blank"",""time"":3708.2050000317395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":3741.535000037402},{""stimulus"":""blank"",""time"":4043.015000061132},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":4081.9749999791384},{""stimulus"":""blank"",""time"":4384.575000032783}]","[{""key_press"":32,""rt"":1547.7950000204146,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png""}]","525.9500000393018","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","98552","0.0-3.0-0.0-2.0","7246.160000097007","","","<p>Your reaction time for this trial was 525.95 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","105417","0.0-3.0-1.0-0.0","6863.635000074282","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","109848","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":344.60000006947666},{""stimulus"":""blank"",""time"":646.5350000653416},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":681.9600000744686},{""stimulus"":""blank"",""time"":982.2500000009313},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1022.7350000059232},{""stimulus"":""blank"",""time"":1323.16000002902},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1361.570000066422},{""stimulus"":""blank"",""time"":1662.2000000206754},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1705.1350000547245},{""stimulus"":""blank"",""time"":2006.7500000586733},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2041.9850000180304},{""stimulus"":""blank"",""time"":2344.9750000145286},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2381.7249999847263},{""stimulus"":""blank"",""time"":2685.950000071898},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2723.1550000142306},{""stimulus"":""blank"",""time"":3027.9800000134856},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3061.170000000857},{""stimulus"":""blank"",""time"":3361.625000019558},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3402.4099999805912},{""stimulus"":""blank"",""time"":3702.9200000688434},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":3742.339999997057},{""stimulus"":""blank"",""time"":4047.7950000204146},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4081.265000044368},{""stimulus"":""blank"",""time"":4381.610000040382}]","[{""key_press"":32,""rt"":3129.034999990836,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png""}]","405.8799999766052","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","114672","0.0-3.0-1.0-2.0","4820.165000041015","","","<p>Your reaction time for this trial was 405.88 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","118096","0.0-3.0-2.0-0.0","3422.620000084862","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","122521","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":343.0200000293553},{""stimulus"":""blank"",""time"":645.310000050813},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":685.9349999576807},{""stimulus"":""blank"",""time"":986.3699999405071},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1020.795000018552},{""stimulus"":""blank"",""time"":1321.4999999618158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1362.154999980703},{""stimulus"":""blank"",""time"":1664.145000046119},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1701.0299999965355},{""stimulus"":""blank"",""time"":2001.2949999654666},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2040.8700000261888},{""stimulus"":""blank"",""time"":2343.639999977313},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2381.1749999877065},{""stimulus"":""blank"",""time"":2685.3650000412017},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2721.6649999609217},{""stimulus"":""blank"",""time"":3026.4850000385195},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3062.0399999897927},{""stimulus"":""blank"",""time"":3362.444999977015},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3401.509999996051},{""stimulus"":""blank"",""time"":3702.915000030771},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":3741.0600000293925},{""stimulus"":""blank"",""time"":4042.754999944009},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4082.0850000018254},{""stimulus"":""blank"",""time"":4382.77999998536}]","[{""key_press"":32,""rt"":2716.874999925494,""stimulus"":""blank""}]","335.69999993778765","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","127980","0.0-3.0-2.0-2.0","5454.879999975674","","","<p>Your reaction time for this trial was 335.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","132394","0.0-4.0","4412.844999926165","","[{""page_index"":0,""viewing_time"":4412.499999976717}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","136201","0.0-5.0-0.0-0.0","3805.625000037253","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","14","140624","0.0-5.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":343.04000006522983},{""stimulus"":""blank"",""time"":645.5150000983849},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":681.2149999896064},{""stimulus"":""blank"",""time"":982.1150000207126},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1021.2700000265613},{""stimulus"":""blank"",""time"":1324.030000017956},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1365.9800000023097},{""stimulus"":""blank"",""time"":1669.8500000638887},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1702.2950000828132},{""stimulus"":""blank"",""time"":2002.7850000187755},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2043.9650000771508},{""stimulus"":""blank"",""time"":2346.925000078045},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2381.67999999132},{""stimulus"":""blank"",""time"":2683.210000046529},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2723.090000101365},{""stimulus"":""blank"",""time"":3028.470000019297},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3062.4350000871345},{""stimulus"":""blank"",""time"":3365.7550000352785},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3401.460000080988},{""stimulus"":""blank"",""time"":3702.900000032969},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":3742.865000036545},{""stimulus"":""blank"",""time"":4045.0699999928474},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4080.8900000993162},{""stimulus"":""blank"",""time"":4382.405000040308}]","[{""key_press"":32,""rt"":3093.9500000094995,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png""}]","370.85999990813434","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","post_TD","1","2723.090000101365","3093.9500000094995","slow","8","3","6111581348437c57e275bc60","","","","","",""
"","image-keyboard-response","15","142738","0.0-5.0-1.0-0.0","2111.3449999829754","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","16","147160","0.0-5.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":343.265000032261},{""stimulus"":""blank"",""time"":643.8799999887124},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":681.0350000159815},{""stimulus"":""blank"",""time"":985.660000005737},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1022.4450000096112},{""stimulus"":""blank"",""time"":1323.1549999909475},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1361.739999963902},{""stimulus"":""blank"",""time"":1663.0749999312684},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1703.0350000131875},{""stimulus"":""blank"",""time"":2006.2949999701232},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2045.9699999773875},{""stimulus"":""blank"",""time"":2346.4849999872968},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2380.8549999957904},{""stimulus"":""blank"",""time"":2681.5499999793246},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2721.9899999909103},{""stimulus"":""blank"",""time"":3024.2200000211596},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3060.979999951087},{""stimulus"":""blank"",""time"":3362.5400000019},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3403.249999973923},{""stimulus"":""blank"",""time"":3705.089999944903},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3741.3399999495596},{""stimulus"":""blank"",""time"":4045.4850000096485},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4082.494999980554},{""stimulus"":""blank"",""time"":4386.479999986477}]","[{""key_press"":32,""rt"":2437.9350000526756,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png""}]","391.9650000752881","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","post_TD","2","2045.9699999773875","2437.9350000526756","slow","6","2","6111581348437c57e275bc60","","","","","",""
"","image-keyboard-response","17","150966","0.0-5.0-2.0-0.0","3802.834999980405","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","13","","","","","","","","","","","","","","","","","",""
