"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3089","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","30883","0.0-1.0","27618.80000001192","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","52286","0.0-2.0","21400.69999998808","","[{""page_index"":0,""viewing_time"":2283.699999988079},{""page_index"":1,""viewing_time"":7943.5999999940395},{""page_index"":2,""viewing_time"":8319.90000000596},{""page_index"":3,""viewing_time"":2852.5}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","61009","0.0-3.0-0.0-0.0","8721.09999999404","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","65431","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":366.5},{""stimulus"":""blank"",""time"":667.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":684.4000000059605},{""stimulus"":""blank"",""time"":990.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1021.9000000059605},{""stimulus"":""blank"",""time"":1336.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1367},{""stimulus"":""blank"",""time"":1675.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1702},{""stimulus"":""blank"",""time"":2011.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2042.300000011921},{""stimulus"":""blank"",""time"":2353},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2381.300000011921},{""stimulus"":""blank"",""time"":2682},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2724.199999988079},{""stimulus"":""blank"",""time"":3028.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3070.800000011921},{""stimulus"":""blank"",""time"":3385.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3404.199999988079},{""stimulus"":""blank"",""time"":3717.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3741.4000000059605},{""stimulus"":""blank"",""time"":4055.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":4084.300000011921},{""stimulus"":""blank"",""time"":4396.5}]","[{""key_press"":32,""rt"":1768.5,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""}]","401.5","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","70688","0.0-3.0-0.0-2.0","5251.199999988079","","","<p>Your reaction time for this trial was 401.5 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","75554","0.0-3.0-1.0-0.0","4864.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","79978","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":347.90000000596046},{""stimulus"":""blank"",""time"":662.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":683.5999999940395},{""stimulus"":""blank"",""time"":993.6999999880791},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1021.1999999880791},{""stimulus"":""blank"",""time"":1330.7999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1361.7999999821186},{""stimulus"":""blank"",""time"":1674.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1701.5},{""stimulus"":""blank"",""time"":2010.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2044.5},{""stimulus"":""blank"",""time"":2360.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2384},{""stimulus"":""blank"",""time"":2692.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2728},{""stimulus"":""blank"",""time"":3042.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3067.4000000059605},{""stimulus"":""blank"",""time"":3372.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3407.199999988079},{""stimulus"":""blank"",""time"":3709},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3741.4000000059605},{""stimulus"":""blank"",""time"":4056.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":4081.0999999940395},{""stimulus"":""blank"",""time"":4390.5999999940395}]","[{""key_press"":32,""rt"":2424.199999988079,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png""}]","379.69999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","84647","0.0-3.0-1.0-2.0","4666","","","<p>Your reaction time for this trial was 379.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","87102","0.0-3.0-2.0-0.0","2453.7000000178814","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
