"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3253","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","12678","0.0-1.0","9139.900000095367","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","26774","0.0-2.0","14093.5","","[{""page_index"":0,""viewing_time"":2809.399999856949},{""page_index"":1,""viewing_time"":6832.5},{""page_index"":2,""viewing_time"":2998.600000143051},{""page_index"":3,""viewing_time"":1451.8999998569489}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","30716","0.0-3.0-0.0-0.0","3939.7999999523163","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","35141","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":357.2999999523163},{""stimulus"":""blank"",""time"":663.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":688.7000000476837},{""stimulus"":""blank"",""time"":996.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1030.7999999523163},{""stimulus"":""blank"",""time"":1346.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1364.7999999523163},{""stimulus"":""blank"",""time"":1680.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1709},{""stimulus"":""blank"",""time"":2013.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2047.0999999046326},{""stimulus"":""blank"",""time"":2354.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2387.5},{""stimulus"":""blank"",""time"":2698.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2727.0999999046326},{""stimulus"":""blank"",""time"":3030.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3064.4000000953674},{""stimulus"":""blank"",""time"":3365.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":3406.7999999523163},{""stimulus"":""blank"",""time"":3721.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3748.0999999046326},{""stimulus"":""blank"",""time"":4049.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":4082.5},{""stimulus"":""blank"",""time"":4398.099999904633}]","[{""key_press"":32,""rt"":3183.300000190735,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png""}]","456.2000002861023","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","42421","0.0-3.0-0.0-2.0","7275.600000143051","","","<p>Your reaction time for this trial was 456.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","44876","0.0-3.0-1.0-0.0","2453.600000143051","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","49308","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":341.7000000476837},{""stimulus"":""blank"",""time"":650.6000001430511},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":689},{""stimulus"":""blank"",""time"":1000.6000001430511},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1026.9000000953674},{""stimulus"":""blank"",""time"":1335.1000001430511},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1368.5},{""stimulus"":""blank"",""time"":1672.1000001430511},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1705.6000001430511},{""stimulus"":""blank"",""time"":2009.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2043},{""stimulus"":""blank"",""time"":2350.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2384.600000143051},{""stimulus"":""blank"",""time"":2700.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2725.4000000953674},{""stimulus"":""blank"",""time"":3033.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3067.600000143051},{""stimulus"":""blank"",""time"":3368},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3401.9000000953674},{""stimulus"":""blank"",""time"":3717},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3742.100000143051},{""stimulus"":""blank"",""time"":4050.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":4088.5},{""stimulus"":""blank"",""time"":4400.100000143051}]","[{""key_press"":32,""rt"":2717.4000000953674,""stimulus"":""blank""}]","332.7999999523163","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","51117","0.0-3.0-1.0-2.0","1804.5","","","<p>Your reaction time for this trial was 332.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","52849","0.0-3.0-2.0-0.0","1731.2999999523163","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
