"participant","TD_trial_number","TD_target_position","TD_rt","attention_state","TD_within_triplet_counter"
"55afe01bfdf99b4ba8045bea",1,6,344.899999976158,"slow","3"
"55afe01bfdf99b4ba8045bea",2,8,432.099999964237,"slow","3"
"55afe01bfdf99b4ba8045bea",3,7,324.500000059605,"fast","2"
"55afe01bfdf99b4ba8045bea",4,8,393.400000035763,"fast","3"
"55afe01bfdf99b4ba8045bea",5,6,364.400000035763,"slow","1"
"55afe01bfdf99b4ba8045bea",6,7,391.199999988079,"slow","2"
"55afe01bfdf99b4ba8045bea",7,6,403.499999940395,"slow","2"
"55afe01bfdf99b4ba8045bea",8,8,351,"slow","2"
"55afe01bfdf99b4ba8045bea",9,5,421,"fast","2"
"55afe01bfdf99b4ba8045bea",10,5,423.099999964237,"slow","2"
"55afe01bfdf99b4ba8045bea",12,9,39.8999999761581,"slow","3"
"55afe01bfdf99b4ba8045bea",13,8,363,"fast","2"
"55afe01bfdf99b4ba8045bea",14,4,392.399999976158,"slow","1"
"55afe01bfdf99b4ba8045bea",15,5,465.399999976158,"fast","1"
"55afe01bfdf99b4ba8045bea",17,9,321.5,"fast","3"
"55afe01bfdf99b4ba8045bea",18,7,394.100000023842,"fast","1"
"55afe01bfdf99b4ba8045bea",19,6,374.599999964237,"fast","2"
"55afe01bfdf99b4ba8045bea",20,6,394,"fast","3"
"55afe01bfdf99b4ba8045bea",21,4,494.5,"fast","1"
"55afe01bfdf99b4ba8045bea",22,7,367.100000023842,"slow","1"
"55afe01bfdf99b4ba8045bea",23,6,416.300000011921,"fast","1"
"55afe01bfdf99b4ba8045bea",24,5,450.600000023842,"slow","1"
"5658000ca9872d0011e1ba26",1,6,316,"fast","2"
"5658000ca9872d0011e1ba26",2,5,332,"fast","1"
"5658000ca9872d0011e1ba26",3,8,361,"slow","3"
"5658000ca9872d0011e1ba26",4,5,319,"fast","2"
"5658000ca9872d0011e1ba26",5,7,312,"fast","2"
"5658000ca9872d0011e1ba26",6,6,335,"slow","1"
"5658000ca9872d0011e1ba26",7,7,320,"fast","1"
"5658000ca9872d0011e1ba26",8,7,373,"slow","3"
"5658000ca9872d0011e1ba26",10,4,373,"slow","1"
"5658000ca9872d0011e1ba26",11,7,393,"slow","1"
