participant,trial_type,final_triplet,final_x_location,triplet_sequence,ind_correct,correct,chance
55afe01bfdf99b4ba8045bea,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png,49,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png,0,0,0.16666666666666666
55afe01bfdf99b4ba8045bea,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png,177,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png,1,0,0.16666666666666666
55afe01bfdf99b4ba8045bea,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png,222,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png,0,0,0.16666666666666666
55afe01bfdf99b4ba8045bea,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png,91,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png,1,0,0.16666666666666666
55afe01bfdf99b4ba8045bea,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png,167,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png,0,0,0.16666666666666666
55afe01bfdf99b4ba8045bea,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png,228,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png,0,0,0.16666666666666666
5658000ca9872d0011e1ba26,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png,36,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png,0,0,0.16666666666666666
5658000ca9872d0011e1ba26,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png,125,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png,0,0,0.16666666666666666
5658000ca9872d0011e1ba26,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png,216,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png,0,0,0.16666666666666666
5658000ca9872d0011e1ba26,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png,39,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png,0,0,0.16666666666666666
5658000ca9872d0011e1ba26,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png,133,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png,0,0,0.16666666666666666
5658000ca9872d0011e1ba26,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png,223,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png,1,0,0.16666666666666666
56849d528f456f000c45e1dd,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png,20,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png,1,1,0.16666666666666666
56849d528f456f000c45e1dd,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png,99,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png,1,1,0.16666666666666666
56849d528f456f000c45e1dd,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png,200,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png,1,1,0.16666666666666666
56849d528f456f000c45e1dd,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png,39,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png,0,0,0.16666666666666666
56849d528f456f000c45e1dd,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png,116,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png,1,0,0.16666666666666666
56849d528f456f000c45e1dd,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png,201,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png,0,0,0.16666666666666666
56cc78e3ccc0e20006b82a7d,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png,15,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png,0,0,0.16666666666666666
56cc78e3ccc0e20006b82a7d,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png,125,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png,0,0,0.16666666666666666
56cc78e3ccc0e20006b82a7d,fast,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png,246,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png,1,0,0.16666666666666666
56cc78e3ccc0e20006b82a7d,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png,39,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png,0,0,0.16666666666666666
56cc78e3ccc0e20006b82a7d,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png,125,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png,0,0,0.16666666666666666
56cc78e3ccc0e20006b82a7d,slow,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png,220,https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png,0,0,0.16666666666666666
