"participant","rt","init_locations","final_locations","trial_type","yoke_participant","yoke_participant_template","fast_triplet","slow_triplet"
"6013fbdabd6b560a4ea0e470",32589.900000006,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""x"":148,""y"":28},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""x"":226,""y"":29},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""x"":103,""y"":28}]","free-sort","00b10","00b10","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png']"
"6013fbdabd6b560a4ea0e470",7591.09999999404,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""x"":37,""y"":19},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":204,""y"":23},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""x"":108,""y"":23}]","free-sort","00b10","00b10","",""
"5f0e9896f5e4e11e12c8f5ac",20259.299999997,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":34,""y"":15},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""x"":116,""y"":14},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""x"":205,""y"":17}]","free-sort","025ce","025ce","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png']"
"5f0e9896f5e4e11e12c8f5ac",15175.400000006,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""x"":46,""y"":15},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""x"":137,""y"":21},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":233,""y"":23}]","free-sort","025ce","025ce","",""
"5ec403bb09d0e02a060bd5e6",12258.8999998569,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":216,""y"":9},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""x"":48,""y"":20},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""x"":117,""y"":23}]","free-sort","055e7","055e7","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png']"
"5ec403bb09d0e02a060bd5e6",7306.89999985695,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""x"":121,""y"":26},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":50,""y"":15},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""x"":238,""y"":22}]","free-sort","055e7","055e7","",""
"5b48f2d0ff7497000125165e",36948.5999999978,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""x"":127,""y"":11},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":229,""y"":33},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""x"":31,""y"":23}]","free-sort","05bfb","05bfb","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png']"
"5b48f2d0ff7497000125165e",12883.5,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""x"":147,""y"":15},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""x"":236,""y"":28},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""x"":33,""y"":18}]","free-sort","05bfb","05bfb","",""
"61007233396dd596eb7c55b0",21403.3000000715,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""x"":26,""y"":18},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""x"":203,""y"":14},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""x"":91,""y"":35}]","free-sort","0a34c","0a34c","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png']","['https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png', 'https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png']"
"61007233396dd596eb7c55b0",13514.3999999762,"[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""x"":475,""y"":0},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""x"":-225,""y"":50},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""x"":475,""y"":50}]","[{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""x"":32,""y"":15},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""x"":113,""y"":25},{""src"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""x"":214,""y"":24}]","free-sort","0a34c","0a34c","",""
