"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3988","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","10762","0.0-1.0","6553.800000011921","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","33680","0.0-2.0","22916.69999998808","","[{""page_index"":0,""viewing_time"":1566.5},{""page_index"":1,""viewing_time"":6605.900000035763},{""page_index"":2,""viewing_time"":12976.199999988079},{""page_index"":3,""viewing_time"":1767.5999999642372}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","39536","0.0-3.0-0.0-0.0","5855.099999964237","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","43958","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":353.30000001192093},{""stimulus"":""blank"",""time"":658.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":681.4000000357628},{""stimulus"":""blank"",""time"":983.3000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":1030.4000000357628},{""stimulus"":""blank"",""time"":1339.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1361.6000000238419},{""stimulus"":""blank"",""time"":1669.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1700.7000000476837},{""stimulus"":""blank"",""time"":2013.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2042.4000000357628},{""stimulus"":""blank"",""time"":2343.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2382.7000000476837},{""stimulus"":""blank"",""time"":2685.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2723.300000011921},{""stimulus"":""blank"",""time"":3025.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3071.600000023842},{""stimulus"":""blank"",""time"":3382.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3401.900000035763},{""stimulus"":""blank"",""time"":3710.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3741.600000023842},{""stimulus"":""blank"",""time"":4053.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":4083.600000023842},{""stimulus"":""blank"",""time"":4390.200000047684}]","[{""key_press"":32,""rt"":3806.599999964237,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png""}]","404.6999999284744","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","48185","0.0-3.0-0.0-2.0","4223.300000011921","","","<p>Your reaction time for this trial was 404.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","60637","0.0-3.0-1.0-0.0","12451.199999988079","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","65058","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":351.5},{""stimulus"":""blank"",""time"":661.3000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":681.1000000238419},{""stimulus"":""blank"",""time"":988.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1021.4000000357628},{""stimulus"":""blank"",""time"":1329.4000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1361.4000000357628},{""stimulus"":""blank"",""time"":1673.9000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1702.1000000238419},{""stimulus"":""blank"",""time"":2016.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2041},{""stimulus"":""blank"",""time"":2341.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2381.400000035763},{""stimulus"":""blank"",""time"":2683.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2720.5},{""stimulus"":""blank"",""time"":3026.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3074.2000000476837},{""stimulus"":""blank"",""time"":3384},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3402},{""stimulus"":""blank"",""time"":3711.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3741.400000035763},{""stimulus"":""blank"",""time"":4054.900000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":4082},{""stimulus"":""blank"",""time"":4384.700000047684}]","[{""key_press"":32,""rt"":2390.699999988079,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""}]","349.69999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","70220","0.0-3.0-1.0-2.0","5160.800000011921","","","<p>Your reaction time for this trial was 349.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","72930","0.0-3.0-2.0-0.0","2709","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","13","","","","","","","","","","","","","","","","","",""
