"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3382","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","12055","0.0-1.0","8570.299999952316","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","47367","0.0-2.0","35308.800000071526","","[{""page_index"":0,""viewing_time"":16051.400000095367},{""page_index"":1,""viewing_time"":7906.599999904633},{""page_index"":2,""viewing_time"":9590},{""page_index"":3,""viewing_time"":1760.1000000238419}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","50174","0.0-3.0-0.0-0.0","2806.2000000476837","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","54596","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":359.89999997615814},{""stimulus"":""blank"",""time"":660.3000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":681.3999999761581},{""stimulus"":""blank"",""time"":986.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1021.7000000476837},{""stimulus"":""blank"",""time"":1325.3000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1361.3999999761581},{""stimulus"":""blank"",""time"":1664.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1712.3000000715256},{""stimulus"":""blank"",""time"":2020.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2041.6000000238419},{""stimulus"":""blank"",""time"":2343.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2382.2000000476837},{""stimulus"":""blank"",""time"":2685.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2721.899999976158},{""stimulus"":""blank"",""time"":3028.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3061.8000000715256},{""stimulus"":""blank"",""time"":3373},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3401.5},{""stimulus"":""blank"",""time"":3714.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3742.8000000715256},{""stimulus"":""blank"",""time"":4051.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":4081.8000000715256},{""stimulus"":""blank"",""time"":4390.800000071526}]","[{""key_press"":32,""rt"":1766.8000000715256,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png""}]","405.40000009536743","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","65772","0.0-3.0-0.0-2.0","11165.799999952316","","","<p>Your reaction time for this trial was 405.4 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","68767","0.0-3.0-1.0-0.0","2994.2000000476837","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","73190","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":348.7999999523163},{""stimulus"":""blank"",""time"":658.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":681.2999999523163},{""stimulus"":""blank"",""time"":983.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1021.3999999761581},{""stimulus"":""blank"",""time"":1322.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1366},{""stimulus"":""blank"",""time"":1674.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1701.2999999523163},{""stimulus"":""blank"",""time"":2015.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2041.5999999046326},{""stimulus"":""blank"",""time"":2352.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2381.5999999046326},{""stimulus"":""blank"",""time"":2692.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2721.1999999284744},{""stimulus"":""blank"",""time"":3033.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3061.399999976158},{""stimulus"":""blank"",""time"":3372.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3404.1999999284744},{""stimulus"":""blank"",""time"":3714},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3741.7999999523163},{""stimulus"":""blank"",""time"":4054.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":4081.899999976158},{""stimulus"":""blank"",""time"":4395.199999928474}]","[{""key_press"":32,""rt"":3091.9000000953674,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png""}]","370.700000166893","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","76115","0.0-3.0-1.0-2.0","2904.399999976158","","","<p>Your reaction time for this trial was 370.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","77669","0.0-3.0-2.0-0.0","1552.8999999761581","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
