"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3193","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","39217","0.0-1.0","35645.699999999255","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","64876","0.0-2.0","25657.199999999255","","[{""page_index"":0,""viewing_time"":1675.300000000745},{""page_index"":1,""viewing_time"":17870.199999999255},{""page_index"":2,""viewing_time"":5216.5},{""page_index"":3,""viewing_time"":894.6000000014901}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","69781","0.0-3.0-0.0-0.0","4903.800000000745","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","74204","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":356.3999999985099},{""stimulus"":""blank"",""time"":658},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":682.3000000007451},{""stimulus"":""blank"",""time"":983.8999999985099},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1022.1999999992549},{""stimulus"":""blank"",""time"":1323.8999999985099},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1361.1000000014901},{""stimulus"":""blank"",""time"":1662},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1702.3999999985099},{""stimulus"":""blank"",""time"":2004},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2042.3999999985099},{""stimulus"":""blank"",""time"":2343.89999999851},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2382.300000000745},{""stimulus"":""blank"",""time"":2684},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2722.39999999851},{""stimulus"":""blank"",""time"":3023.89999999851},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3061.199999999255},{""stimulus"":""blank"",""time"":3362.300000000745},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3402.800000000745},{""stimulus"":""blank"",""time"":3704.300000000745},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3741.39999999851},{""stimulus"":""blank"",""time"":4042.699999999255},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":4081.89999999851},{""stimulus"":""blank"",""time"":4383.800000000745}]","[{""key_press"":32,""rt"":1201,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png""}]","518.6999999992549","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","77695","0.0-3.0-0.0-2.0","3486.39999999851","","","<p>Your reaction time for this trial was 518.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","82116","0.0-3.0-1.0-0.0","4419.70000000298","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","86538","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":342.19999999925494},{""stimulus"":""blank"",""time"":643.5999999977648},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":682},{""stimulus"":""blank"",""time"":983.0999999977648},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1022.1999999992549},{""stimulus"":""blank"",""time"":1323.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1362},{""stimulus"":""blank"",""time"":1663.5999999977648},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1702.0999999977648},{""stimulus"":""blank"",""time"":2003.800000000745},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2042.0999999977648},{""stimulus"":""blank"",""time"":2343.39999999851},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2381.599999997765},{""stimulus"":""blank"",""time"":2683.300000000745},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2721.39999999851},{""stimulus"":""blank"",""time"":3023.099999997765},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3062.5},{""stimulus"":""blank"",""time"":3364.199999999255},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3402.599999997765},{""stimulus"":""blank"",""time"":3704.099999997765},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3742.5},{""stimulus"":""blank"",""time"":4044.199999999255},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4082.599999997765},{""stimulus"":""blank"",""time"":4384.099999997765}]","[{""key_press"":32,""rt"":2155.400000002235,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png""}]","453.30000000447035","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","88704","0.0-3.0-1.0-2.0","2164","","","<p>Your reaction time for this trial was 453.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","91676","0.0-3.0-2.0-0.0","2971.60000000149","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
