"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","4098","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","17201","0.0-1.0","13005.200000017881","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","51034","0.0-2.0","33831.19999998808","","[{""page_index"":0,""viewing_time"":6128.799999982119},{""page_index"":1,""viewing_time"":13470.90000000596},{""page_index"":2,""viewing_time"":12481.90000000596},{""page_index"":3,""viewing_time"":1748.9000000059605}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","57592","0.0-3.0-0.0-0.0","6557.399999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","62014","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":359.7000000178814},{""stimulus"":""blank"",""time"":671.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":682},{""stimulus"":""blank"",""time"":985.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1020.9000000059605},{""stimulus"":""blank"",""time"":1333.7000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1361.5},{""stimulus"":""blank"",""time"":1664.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1711.9000000059605},{""stimulus"":""blank"",""time"":2013.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2045.300000011921},{""stimulus"":""blank"",""time"":2346.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2394},{""stimulus"":""blank"",""time"":2708},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2721.100000023842},{""stimulus"":""blank"",""time"":3024.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3072.7000000178814},{""stimulus"":""blank"",""time"":3387.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3400.9000000059605},{""stimulus"":""blank"",""time"":3701.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3742},{""stimulus"":""blank"",""time"":4048},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4081.2000000178814},{""stimulus"":""blank"",""time"":4382.4000000059605}]","[{""key_press"":32,""rt"":1459.199999988079,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png""},{""key_press"":32,""rt"":3811.300000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png""}]","438.2999999821186","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","73942","0.0-3.0-0.0-2.0","11925.700000017881","","","<p>Your reaction time for this trial was 438.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","78127","0.0-3.0-1.0-0.0","4184.200000017881","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","82552","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":344.80000001192093},{""stimulus"":""blank"",""time"":660.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":692.8000000119209},{""stimulus"":""blank"",""time"":994.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1021},{""stimulus"":""blank"",""time"":1328.7000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1361.5},{""stimulus"":""blank"",""time"":1676.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1701},{""stimulus"":""blank"",""time"":2010.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2042.5999999940395},{""stimulus"":""blank"",""time"":2344.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2381.300000011921},{""stimulus"":""blank"",""time"":2692.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2724.2000000178814},{""stimulus"":""blank"",""time"":3024.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3061.5},{""stimulus"":""blank"",""time"":3371.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3401.2000000178814},{""stimulus"":""blank"",""time"":3706},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3741.5},{""stimulus"":""blank"",""time"":4055.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":4081.300000011921},{""stimulus"":""blank"",""time"":4382.200000017881}]","[{""key_press"":32,""rt"":2743.7000000178814,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""},{""key_press"":32,""rt"":4363.800000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png""}]","19.5","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","87781","0.0-3.0-1.0-2.0","5227.800000011921","","","<p>Your reaction time for this trial was 19.5 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","89541","0.0-3.0-2.0-0.0","1759","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","13","","","","","","","","","","","","","","","","","",""
