"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3393","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","11338","0.0-1.0","7708.800000011921","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","46609","0.0-2.0","35275.69999998808","","[{""page_index"":0,""viewing_time"":3570.699999988079},{""page_index"":1,""viewing_time"":17374.90000000596},{""page_index"":2,""viewing_time"":11896.300000011921},{""page_index"":3,""viewing_time"":2432.5}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","52174","0.0-3.0-0.0-0.0","5563.4000000059605","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","56597","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":345.09999999403954},{""stimulus"":""blank"",""time"":653.3000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":682.1999999880791},{""stimulus"":""blank"",""time"":985.3000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1022.0999999940395},{""stimulus"":""blank"",""time"":1324.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1362.0999999940395},{""stimulus"":""blank"",""time"":1671.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1701.5},{""stimulus"":""blank"",""time"":2003.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2041.0999999940395},{""stimulus"":""blank"",""time"":2341.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2382.800000011921},{""stimulus"":""blank"",""time"":2688.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2722.5999999940395},{""stimulus"":""blank"",""time"":3027.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3062.199999988079},{""stimulus"":""blank"",""time"":3374.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3402.800000011921},{""stimulus"":""blank"",""time"":3706.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3742},{""stimulus"":""blank"",""time"":4044.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":4082.4000000059605},{""stimulus"":""blank"",""time"":4392.4000000059605}]","[{""key_press"":32,""rt"":2706.9000000059605,""stimulus"":""blank""}]","665.8000000119209","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","61363","0.0-3.0-0.0-2.0","4760.5","","","<p>Your reaction time for this trial was 665.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","66049","0.0-3.0-1.0-0.0","4684.699999988079","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","70471","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":352.40000000596046},{""stimulus"":""blank"",""time"":677.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":681.0999999940395},{""stimulus"":""blank"",""time"":993.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1022.5999999940395},{""stimulus"":""blank"",""time"":1335},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1362.7000000178814},{""stimulus"":""blank"",""time"":1663.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1701.7000000178814},{""stimulus"":""blank"",""time"":2016.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2041.300000011921},{""stimulus"":""blank"",""time"":2348.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2402.300000011921},{""stimulus"":""blank"",""time"":2718},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2721.800000011921},{""stimulus"":""blank"",""time"":3034.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3074.300000011921},{""stimulus"":""blank"",""time"":3382.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3402.0999999940395},{""stimulus"":""blank"",""time"":3705.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3742.2000000178814},{""stimulus"":""blank"",""time"":4052.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":4081.2000000178814},{""stimulus"":""blank"",""time"":4384.200000017881}]","[{""key_press"":32,""rt"":2116.2999999821186,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png""}]","414.5999999642372","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","72959","0.0-3.0-1.0-2.0","2484.7999999821186","","","<p>Your reaction time for this trial was 414.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","77106","0.0-3.0-2.0-0.0","4145.9000000059605","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","81529","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":344.89999997615814},{""stimulus"":""blank"",""time"":645.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":682},{""stimulus"":""blank"",""time"":1000.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1022.2999999821186},{""stimulus"":""blank"",""time"":1327.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1362},{""stimulus"":""blank"",""time"":1674.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1702.5},{""stimulus"":""blank"",""time"":2006},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2041.8999999761581},{""stimulus"":""blank"",""time"":2344.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2382.2999999821186},{""stimulus"":""blank"",""time"":2692.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2722.199999988079},{""stimulus"":""blank"",""time"":3031.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3061.199999988079},{""stimulus"":""blank"",""time"":3363.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3401},{""stimulus"":""blank"",""time"":3710.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3741.5999999940395},{""stimulus"":""blank"",""time"":4048.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":4082.399999976158},{""stimulus"":""blank"",""time"":4390.5999999940395}]","[{""key_press"":32,""rt"":2182.4000000059605,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png""}]","479.90000000596046","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","83716","0.0-3.0-2.0-2.0","2183.199999988079","","","<p>Your reaction time for this trial was 479.9 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","86217","0.0-4.0","2501.2000000178814","","[{""page_index"":0,""viewing_time"":2500.9000000059605}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","90560","0.0-5.0-0.0-0.0","4341.299999982119","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","14","94990","0.0-5.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":341.80000001192093},{""stimulus"":""blank"",""time"":657.3000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":681},{""stimulus"":""blank"",""time"":995.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1035.5999999940395},{""stimulus"":""blank"",""time"":1342.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1361.5999999940395},{""stimulus"":""blank"",""time"":1674.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1702},{""stimulus"":""blank"",""time"":2003.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2041.800000011921},{""stimulus"":""blank"",""time"":2343.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2382.4000000059605},{""stimulus"":""blank"",""time"":2697.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2722.5},{""stimulus"":""blank"",""time"":3029.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3061.5999999940395},{""stimulus"":""blank"",""time"":3377.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3402.0999999940395},{""stimulus"":""blank"",""time"":3715.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3741.4000000059605},{""stimulus"":""blank"",""time"":4048.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4081},{""stimulus"":""blank"",""time"":4401.699999988079}]","[{""key_press"":32,""rt"":2792.399999976158,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png""}]","409.9999999701977","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","post_TD","1","2382.4000000059605","2792.399999976158","fast","7","3","5c69a010ec1fb80001c17b34","","","","","",""
"","image-keyboard-response","15","99731","0.0-5.0-1.0-0.0","4738.4000000059605","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","13","","","","","","","","","","","","","","","","","",""
