"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2159","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","5244","0.0-1.0","3035","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","18160","0.0-2.0","12915","","[{""page_index"":0,""viewing_time"":1797},{""page_index"":1,""viewing_time"":5387},{""page_index"":2,""viewing_time"":4785},{""page_index"":3,""viewing_time"":946}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","22680","0.0-3.0-0.0-0.0","4519","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","27137","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":347},{""stimulus"":""blank"",""time"":656},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":687},{""stimulus"":""blank"",""time"":997},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1029},{""stimulus"":""blank"",""time"":1340},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":1370},{""stimulus"":""blank"",""time"":1684},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1715},{""stimulus"":""blank"",""time"":2023},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2055},{""stimulus"":""blank"",""time"":2368},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2400},{""stimulus"":""blank"",""time"":2712},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2743},{""stimulus"":""blank"",""time"":3053},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3086},{""stimulus"":""blank"",""time"":3397},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3428},{""stimulus"":""blank"",""time"":3737},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3769},{""stimulus"":""blank"",""time"":4082},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":4114},{""stimulus"":""blank"",""time"":4426}]","[{""key_press"":32,""rt"":3822,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png""}]","394","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","30622","0.0-3.0-0.0-2.0","3484","","","<p>Your reaction time for this trial was 394 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","34502","0.0-3.0-1.0-0.0","3878","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","38960","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":352},{""stimulus"":""blank"",""time"":663},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":695},{""stimulus"":""blank"",""time"":1007},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1038},{""stimulus"":""blank"",""time"":1351},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1382},{""stimulus"":""blank"",""time"":1691},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1722},{""stimulus"":""blank"",""time"":2035},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2065},{""stimulus"":""blank"",""time"":2375},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2406},{""stimulus"":""blank"",""time"":2718},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2750},{""stimulus"":""blank"",""time"":3061},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3090},{""stimulus"":""blank"",""time"":3402},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3432},{""stimulus"":""blank"",""time"":3744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3774},{""stimulus"":""blank"",""time"":4087},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":4118},{""stimulus"":""blank"",""time"":4427}]","[]","NaN","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","42225","0.0-3.0-1.0-2.0","3264","","","<p>Your reaction time for this trial was NaN ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","44619","0.0-3.0-2.0-0.0","2394","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","49091","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":352},{""stimulus"":""blank"",""time"":661},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":692},{""stimulus"":""blank"",""time"":1002},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1033},{""stimulus"":""blank"",""time"":1344},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1375},{""stimulus"":""blank"",""time"":1684},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1716},{""stimulus"":""blank"",""time"":2027},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2058},{""stimulus"":""blank"",""time"":2371},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2402},{""stimulus"":""blank"",""time"":2715},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2746},{""stimulus"":""blank"",""time"":3058},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3089},{""stimulus"":""blank"",""time"":3400},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3430},{""stimulus"":""blank"",""time"":3739},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3785},{""stimulus"":""blank"",""time"":4099},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4130},{""stimulus"":""blank"",""time"":4440}]","[{""key_press"":32,""rt"":3083,""stimulus"":""blank""}]","337","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","post_prac","","","","","","","","","","","","",""
