"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","8431","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","12369","0.0-1.0","3853.1999999284744","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","29935","0.0-2.0","17564.899999976158","","[{""page_index"":0,""viewing_time"":1610.1000000238419},{""page_index"":1,""viewing_time"":9346.5},{""page_index"":2,""viewing_time"":5519.100000023842},{""page_index"":3,""viewing_time"":1088.5999999046326}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","34762","0.0-3.0-0.0-0.0","4825.899999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","39197","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":358.60000002384186},{""stimulus"":""blank"",""time"":659.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":689.1000000238419},{""stimulus"":""blank"",""time"":998.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1031},{""stimulus"":""blank"",""time"":1341},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1372.2000000476837},{""stimulus"":""blank"",""time"":1672.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1704.6000000238419},{""stimulus"":""blank"",""time"":2016.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2053.899999976158},{""stimulus"":""blank"",""time"":2355.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2386},{""stimulus"":""blank"",""time"":2688},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2720.600000023842},{""stimulus"":""blank"",""time"":3035.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3071},{""stimulus"":""blank"",""time"":3373.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3406.600000023842},{""stimulus"":""blank"",""time"":3720.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3758.2000000476837},{""stimulus"":""blank"",""time"":4059.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":4094.5},{""stimulus"":""blank"",""time"":4406.899999976158}]","[{""key_press"":32,""rt"":2808.7999999523163,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png""}]","422.7999999523163","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","43557","0.0-3.0-0.0-2.0","4355.5","","","<p>Your reaction time for this trial was 422.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","47443","0.0-3.0-1.0-0.0","3885.1999999284744","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","51865","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":354.39999997615814},{""stimulus"":""blank"",""time"":654.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":690.2999999523163},{""stimulus"":""blank"",""time"":995.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1027.1000000238419},{""stimulus"":""blank"",""time"":1339.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1362.2999999523163},{""stimulus"":""blank"",""time"":1671.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1709.5},{""stimulus"":""blank"",""time"":2009.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2046.1000000238419},{""stimulus"":""blank"",""time"":2357.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2392.899999976158},{""stimulus"":""blank"",""time"":2696.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2733.100000023842},{""stimulus"":""blank"",""time"":3044.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3061},{""stimulus"":""blank"",""time"":3372.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3403.7999999523163},{""stimulus"":""blank"",""time"":3712.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3743.6999999284744},{""stimulus"":""blank"",""time"":4044.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":4095.6999999284744},{""stimulus"":""blank"",""time"":4414.399999976158}]","[{""key_press"":32,""rt"":2102.7999999523163,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png""}]","393.2999999523163","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","54309","0.0-3.0-1.0-2.0","2442","","","<p>Your reaction time for this trial was 393.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","55332","0.0-3.0-2.0-0.0","1023","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
