"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2387","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","7482","0.0-1.0","5002","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","23810","0.0-2.0","16326.700000047684","","[{""page_index"":0,""viewing_time"":1814.8999999761581},{""page_index"":1,""viewing_time"":7847.900000095367},{""page_index"":2,""viewing_time"":5072},{""page_index"":3,""viewing_time"":1591.3999999761581}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","28695","0.0-3.0-0.0-0.0","4884.100000023842","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","33116","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":354.39999997615814},{""stimulus"":""blank"",""time"":655.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":680.5},{""stimulus"":""blank"",""time"":981.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1021.6000000238419},{""stimulus"":""blank"",""time"":1322.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1360.8999999761581},{""stimulus"":""blank"",""time"":1669.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1701.1999999284744},{""stimulus"":""blank"",""time"":2007.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2040.8999999761581},{""stimulus"":""blank"",""time"":2348.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2381.399999976158},{""stimulus"":""blank"",""time"":2690.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2720.5},{""stimulus"":""blank"",""time"":3029},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3061.6999999284744},{""stimulus"":""blank"",""time"":3371.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3401.399999976158},{""stimulus"":""blank"",""time"":3711.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":3741.899999976158},{""stimulus"":""blank"",""time"":4051.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":4080.899999976158},{""stimulus"":""blank"",""time"":4390.600000023842}]","[{""key_press"":32,""rt"":2747.600000023842,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png""}]","366.2000000476837","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","38169","0.0-3.0-0.0-2.0","5050.399999976158","","","<p>Your reaction time for this trial was 366.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","40078","0.0-3.0-1.0-0.0","1908.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","44499","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":341.3000000715256},{""stimulus"":""blank"",""time"":649.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":695.6000000238419},{""stimulus"":""blank"",""time"":1004},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1021.1000000238419},{""stimulus"":""blank"",""time"":1327.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1373.3999999761581},{""stimulus"":""blank"",""time"":1683.3000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1701},{""stimulus"":""blank"",""time"":2008.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2040.8000000715256},{""stimulus"":""blank"",""time"":2346.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2393.3000000715256},{""stimulus"":""blank"",""time"":2702.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2721},{""stimulus"":""blank"",""time"":3026},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3061},{""stimulus"":""blank"",""time"":3368.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3401.2000000476837},{""stimulus"":""blank"",""time"":3708.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3741.2000000476837},{""stimulus"":""blank"",""time"":4049.8000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":4081.8000000715256},{""stimulus"":""blank"",""time"":4390.700000047684}]","[{""key_press"":32,""rt"":1757.2999999523163,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png""}]","383.89999997615814","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","46663","0.0-3.0-1.0-2.0","2163.100000023842","","","<p>Your reaction time for this trial was 383.9 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","48345","0.0-3.0-2.0-0.0","1680.8000000715256","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","13","","","","","","","","","","","","","","","","","",""
