"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3014","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","52890","0.0-1.0","49775.299999952316","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","84401","0.0-2.0","31504.899999976158","","[{""page_index"":0,""viewing_time"":2592.1999999284744},{""page_index"":1,""viewing_time"":18641},{""page_index"":2,""viewing_time"":7858.100000023842},{""page_index"":3,""viewing_time"":2412.3000000715256}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","92648","0.0-3.0-0.0-0.0","8244.199999928474","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","97072","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":357.39999997615814},{""stimulus"":""blank"",""time"":666.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":686.8999999761581},{""stimulus"":""blank"",""time"":993.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":1021.3999999761581},{""stimulus"":""blank"",""time"":1324.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1371.5999999046326},{""stimulus"":""blank"",""time"":1676.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1702.1999999284744},{""stimulus"":""blank"",""time"":2006.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2048.0999999046326},{""stimulus"":""blank"",""time"":2352.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2388.2999999523163},{""stimulus"":""blank"",""time"":2696.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2731.1999999284744},{""stimulus"":""blank"",""time"":3033.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3064.6999999284744},{""stimulus"":""blank"",""time"":3372.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3405.5},{""stimulus"":""blank"",""time"":3711.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3746.899999976158},{""stimulus"":""blank"",""time"":4050.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":4088.6999999284744},{""stimulus"":""blank"",""time"":4397.399999976158}]","[{""key_press"":32,""rt"":3466.7999999523163,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png""}]","402.10000002384186","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","102258","0.0-3.0-0.0-2.0","5180.5","","","<p>Your reaction time for this trial was 402.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","108390","0.0-3.0-1.0-0.0","6130.399999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","112813","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":342.6999999284744},{""stimulus"":""blank"",""time"":650.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":684.6000000238419},{""stimulus"":""blank"",""time"":986},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1027.5},{""stimulus"":""blank"",""time"":1334.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1366.3999999761581},{""stimulus"":""blank"",""time"":1669.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1701},{""stimulus"":""blank"",""time"":2002.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2042.1999999284744},{""stimulus"":""blank"",""time"":2342.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2384.1999999284744},{""stimulus"":""blank"",""time"":2688.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2727.100000023842},{""stimulus"":""blank"",""time"":3042.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":3068},{""stimulus"":""blank"",""time"":3372.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3401.2999999523163},{""stimulus"":""blank"",""time"":3708.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3742.899999976158},{""stimulus"":""blank"",""time"":4049.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":4093.7999999523163},{""stimulus"":""blank"",""time"":4395.199999928474}]","[{""key_press"":32,""rt"":2112.100000023842,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png""},{""key_press"":32,""rt"":2364.100000023842,""stimulus"":""blank""}]","411.10000002384186","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","115596","0.0-3.0-1.0-2.0","2779.100000023842","","","<p>Your reaction time for this trial was 411.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","119831","0.0-3.0-2.0-0.0","4234.100000023842","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","13","","","","","","","","","","","","","","","","","",""
