"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2912","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","7225","0.0-1.0","4138.300000000047","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","27218","0.0-2.0","19974.90000000014","","[{""page_index"":0,""viewing_time"":1398.4000000001397},{""page_index"":1,""viewing_time"":6554.399999999907},{""page_index"":2,""viewing_time"":9378.5},{""page_index"":3,""viewing_time"":2640.6999999999534}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","33807","0.0-3.0-0.0-0.0","6583.40000000014","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","38230","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":343.89999999990687},{""stimulus"":""blank"",""time"":657.6999999999534},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":683.5999999998603},{""stimulus"":""blank"",""time"":985.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1022.5999999998603},{""stimulus"":""blank"",""time"":1323.5999999998603},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1363.3999999999069},{""stimulus"":""blank"",""time"":1664.0999999998603},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1702.5999999998603},{""stimulus"":""blank"",""time"":2005.8999999999069},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2041.5999999998603},{""stimulus"":""blank"",""time"":2343.0999999998603},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2382.2999999998137},{""stimulus"":""blank"",""time"":2683.7999999998137},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2725.0999999998603},{""stimulus"":""blank"",""time"":3026.399999999907},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3063.1999999999534},{""stimulus"":""blank"",""time"":3371.2999999998137},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3402},{""stimulus"":""blank"",""time"":3704},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3747},{""stimulus"":""blank"",""time"":4055.899999999907},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":4083.1999999999534},{""stimulus"":""blank"",""time"":4384.59999999986}]","[{""key_press"":32,""rt"":1782.1000000000931,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png""}]","418.70000000018626","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","43564","0.0-3.0-0.0-2.0","5301.199999999953","","","<p>Your reaction time for this trial was 418.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","47676","0.0-3.0-1.0-0.0","4111","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","52098","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":342.5},{""stimulus"":""blank"",""time"":644.1999999999534},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":682.5999999998603},{""stimulus"":""blank"",""time"":987.3000000000466},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1022.0999999998603},{""stimulus"":""blank"",""time"":1323.3999999999069},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1363},{""stimulus"":""blank"",""time"":1664.0999999998603},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1701.8999999999069},{""stimulus"":""blank"",""time"":2002.3000000000466},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2042.3000000000466},{""stimulus"":""blank"",""time"":2343.1999999999534},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2383.5},{""stimulus"":""blank"",""time"":2684.399999999907},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2723.0999999998603},{""stimulus"":""blank"",""time"":3036.6999999999534},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3063.399999999907},{""stimulus"":""blank"",""time"":3365.3000000000466},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3401.6999999999534},{""stimulus"":""blank"",""time"":3702.899999999907},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3741.8000000000466},{""stimulus"":""blank"",""time"":4042.8000000000466},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":4081.899999999907},{""stimulus"":""blank"",""time"":4382.699999999953}]","[{""key_press"":32,""rt"":2142.100000000093,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png""}]","440.20000000018626","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","56431","0.0-3.0-1.0-2.0","4326.399999999907","","","<p>Your reaction time for this trial was 440.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","57373","0.0-3.0-2.0-0.0","941.1999999999534","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png","13","","","","","","","","","","","","","","","","","",""
