"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","13213","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","17296","0.0-1.0","3859","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","49263","0.0-2.0","31964","","[{""page_index"":0,""viewing_time"":3668},{""page_index"":1,""viewing_time"":13041},{""page_index"":2,""viewing_time"":11679},{""page_index"":3,""viewing_time"":3576}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","58175","0.0-3.0-0.0-0.0","8910","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","62673","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":347},{""stimulus"":""blank"",""time"":651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":699},{""stimulus"":""blank"",""time"":1010},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1043},{""stimulus"":""blank"",""time"":1354},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1386},{""stimulus"":""blank"",""time"":1693},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1728},{""stimulus"":""blank"",""time"":2041},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2075},{""stimulus"":""blank"",""time"":2381},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2415},{""stimulus"":""blank"",""time"":2724},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2769},{""stimulus"":""blank"",""time"":3078},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3109},{""stimulus"":""blank"",""time"":3420},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3458},{""stimulus"":""blank"",""time"":3764},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3811},{""stimulus"":""blank"",""time"":4120},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4154},{""stimulus"":""blank"",""time"":4461}]","[{""key_press"":32,""rt"":2848,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png""}]","433","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","67543","0.0-3.0-0.0-2.0","4864","","","<p>Your reaction time for this trial was 433 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","72213","0.0-3.0-1.0-0.0","4669","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","76736","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":351},{""stimulus"":""blank"",""time"":655},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":704},{""stimulus"":""blank"",""time"":1006},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1060},{""stimulus"":""blank"",""time"":1373},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1404},{""stimulus"":""blank"",""time"":1720},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1753},{""stimulus"":""blank"",""time"":2069},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2100},{""stimulus"":""blank"",""time"":2410},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2450},{""stimulus"":""blank"",""time"":2760},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2795},{""stimulus"":""blank"",""time"":3105},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3135},{""stimulus"":""blank"",""time"":3450},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3484},{""stimulus"":""blank"",""time"":3790},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3838},{""stimulus"":""blank"",""time"":4145},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":4177},{""stimulus"":""blank"",""time"":4490}]","[{""key_press"":32,""rt"":2878,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png""}]","428","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","80308","0.0-3.0-1.0-2.0","3567","","","<p>Your reaction time for this trial was 428 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","82665","0.0-3.0-2.0-0.0","2356","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","13","","","","","","","","","","","","","","","","","",""
