"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2432","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","5872","0.0-1.0","3249.699999988079","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","16962","0.0-2.0","11089","","[{""page_index"":0,""viewing_time"":1101.2000000029802},{""page_index"":1,""viewing_time"":6205.79999999702},{""page_index"":2,""viewing_time"":2510},{""page_index"":3,""viewing_time"":1271.1000000089407}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","22614","0.0-3.0-0.0-0.0","5650.399999991059","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","27037","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":365.5},{""stimulus"":""blank"",""time"":676.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":681.5999999940395},{""stimulus"":""blank"",""time"":983.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1021.5999999940395},{""stimulus"":""blank"",""time"":1325.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1361.0999999940395},{""stimulus"":""blank"",""time"":1666.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1711.2999999970198},{""stimulus"":""blank"",""time"":2020.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2041.2999999970198},{""stimulus"":""blank"",""time"":2346.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2392.2999999970198},{""stimulus"":""blank"",""time"":2692.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2723},{""stimulus"":""blank"",""time"":3034.8999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":3061.5},{""stimulus"":""blank"",""time"":3375.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3401.3999999910593},{""stimulus"":""blank"",""time"":3716.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3741.5},{""stimulus"":""blank"",""time"":4042.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":4089.199999988079},{""stimulus"":""blank"",""time"":4401.29999999702}]","[{""key_press"":32,""rt"":3902.7999999970198,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png""}]","501.40000000596046","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","30950","0.0-3.0-0.0-2.0","3909.4000000059605","","","<p>Your reaction time for this trial was 501.4 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","32518","0.0-3.0-1.0-0.0","1566.6000000089407","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","36939","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":348.79999999701977},{""stimulus"":""blank"",""time"":657},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":681.5},{""stimulus"":""blank"",""time"":986.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1021.4000000059605},{""stimulus"":""blank"",""time"":1326.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1361.4000000059605},{""stimulus"":""blank"",""time"":1670.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1702.2999999970198},{""stimulus"":""blank"",""time"":2013.2000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2042.5999999940395},{""stimulus"":""blank"",""time"":2347.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2381.2000000029802},{""stimulus"":""blank"",""time"":2691.2000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2723.5},{""stimulus"":""blank"",""time"":3032.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3062.7000000029802},{""stimulus"":""blank"",""time"":3375.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3402.4000000059605},{""stimulus"":""blank"",""time"":3716.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3741.7999999970198},{""stimulus"":""blank"",""time"":4042.2000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":4089.5},{""stimulus"":""blank"",""time"":4399.4000000059605}]","[{""key_press"":32,""rt"":1806.6000000089407,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png""}]","445.20000000298023","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","40630","0.0-3.0-1.0-2.0","3688","","","<p>Your reaction time for this trial was 445.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","41462","0.0-3.0-2.0-0.0","831.6000000089407","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","13","","","","","","","","","","","","","","","","","",""
