"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","274565","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","281430","0.0-1.0","6325","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","298239","0.0-2.0","16804","","[{""page_index"":0,""viewing_time"":3405},{""page_index"":1,""viewing_time"":6087},{""page_index"":2,""viewing_time"":5936},{""page_index"":3,""viewing_time"":1376}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","302245","0.0-3.0-0.0-0.0","4005","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","306770","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":346},{""stimulus"":""blank"",""time"":656},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":696},{""stimulus"":""blank"",""time"":1015},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1057},{""stimulus"":""blank"",""time"":1376},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1397},{""stimulus"":""blank"",""time"":1716},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1756},{""stimulus"":""blank"",""time"":2075},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2111},{""stimulus"":""blank"",""time"":2415},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2456},{""stimulus"":""blank"",""time"":2776},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2796},{""stimulus"":""blank"",""time"":3116},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3136},{""stimulus"":""blank"",""time"":3455},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3476},{""stimulus"":""blank"",""time"":3785},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3826},{""stimulus"":""blank"",""time"":4146},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":4186},{""stimulus"":""blank"",""time"":4485}]","[{""key_press"":32,""rt"":3522,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png""}]","386","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","312258","0.0-3.0-0.0-2.0","5486","","","<p>Your reaction time for this trial was 386 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","315326","0.0-3.0-1.0-0.0","3067","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","319822","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":355},{""stimulus"":""blank"",""time"":656},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":696},{""stimulus"":""blank"",""time"":1016},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1036},{""stimulus"":""blank"",""time"":1355},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1396},{""stimulus"":""blank"",""time"":1713},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1756},{""stimulus"":""blank"",""time"":2065},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2105},{""stimulus"":""blank"",""time"":2425},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2446},{""stimulus"":""blank"",""time"":2765},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2786},{""stimulus"":""blank"",""time"":3106},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3126},{""stimulus"":""blank"",""time"":3435},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3476},{""stimulus"":""blank"",""time"":3796},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":3816},{""stimulus"":""blank"",""time"":4136},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4156},{""stimulus"":""blank"",""time"":4475}]","[{""key_press"":32,""rt"":3527,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""}]","401","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","322281","0.0-3.0-1.0-2.0","2457","","","<p>Your reaction time for this trial was 401 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","324346","0.0-3.0-2.0-0.0","2064","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","328882","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":348},{""stimulus"":""blank"",""time"":666},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":706},{""stimulus"":""blank"",""time"":1007},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1047},{""stimulus"":""blank"",""time"":1347},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1387},{""stimulus"":""blank"",""time"":1707},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1746},{""stimulus"":""blank"",""time"":2056},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2097},{""stimulus"":""blank"",""time"":2416},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2437},{""stimulus"":""blank"",""time"":2756},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2777},{""stimulus"":""blank"",""time"":3097},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3138},{""stimulus"":""blank"",""time"":3457},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3477},{""stimulus"":""blank"",""time"":3797},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3817},{""stimulus"":""blank"",""time"":4136},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":4177},{""stimulus"":""blank"",""time"":4496}]","[{""key_press"":32,""rt"":3248,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png""}]","471","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","329698","0.0-3.0-2.0-2.0","815","","","<p>Your reaction time for this trial was 471 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","334011","0.0-4.0","4311","","[{""page_index"":0,""viewing_time"":4311}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","335957","0.0-5.0-0.0-0.0","1946","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png","13","","","","","","","","","","","","","","","","","",""
