"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","15274","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","21743","0.0-1.0","6291","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","100155","0.0-2.0","78409.30000001192","","[{""page_index"":0,""viewing_time"":1751.1000000238419},{""page_index"":1,""viewing_time"":13970.599999964237},{""page_index"":2,""viewing_time"":60450},{""page_index"":3,""viewing_time"":2236.300000011921}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","107086","0.0-3.0-0.0-0.0","6929.399999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","111509","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":355.60000002384186},{""stimulus"":""blank"",""time"":669.9000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":685},{""stimulus"":""blank"",""time"":994.4000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1025.800000011921},{""stimulus"":""blank"",""time"":1336.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1366.6000000238419},{""stimulus"":""blank"",""time"":1674.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1705},{""stimulus"":""blank"",""time"":2017.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2041.300000011921},{""stimulus"":""blank"",""time"":2343.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2382},{""stimulus"":""blank"",""time"":2683.900000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2730.2000000476837},{""stimulus"":""blank"",""time"":3039.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3069.900000035763},{""stimulus"":""blank"",""time"":3380.900000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3407.7000000476837},{""stimulus"":""blank"",""time"":3723.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":3755.7000000476837},{""stimulus"":""blank"",""time"":4064.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":4082.100000023842},{""stimulus"":""blank"",""time"":4392.600000023842}]","[{""key_press"":32,""rt"":2067.300000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png""}]","362.30000001192093","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","116809","0.0-3.0-0.0-2.0","5293.800000011921","","","<p>Your reaction time for this trial was 362.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","118757","0.0-3.0-1.0-0.0","1948.1000000238419","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","123179","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":343.4000000357628},{""stimulus"":""blank"",""time"":651.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":681.3000000119209},{""stimulus"":""blank"",""time"":989.4000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1021.6000000238419},{""stimulus"":""blank"",""time"":1333},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1361.300000011921},{""stimulus"":""blank"",""time"":1672.9000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1704.300000011921},{""stimulus"":""blank"",""time"":2012.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2042.6000000238419},{""stimulus"":""blank"",""time"":2353.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2380.800000011921},{""stimulus"":""blank"",""time"":2695.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2725.300000011921},{""stimulus"":""blank"",""time"":3037.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3061.100000023842},{""stimulus"":""blank"",""time"":3361.900000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3409.300000011921},{""stimulus"":""blank"",""time"":3720.400000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":3752.300000011921},{""stimulus"":""blank"",""time"":4062.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":4090.699999988079},{""stimulus"":""blank"",""time"":4404.900000035763}]","[{""key_press"":32,""rt"":2703.599999964237,""stimulus"":""blank""}]","322.7999999523163","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","127399","0.0-3.0-1.0-2.0","4217.800000011921","","","<p>Your reaction time for this trial was 322.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","128971","0.0-3.0-2.0-0.0","1571","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
