"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","14417","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","65345","0.0-1.0","50607.29999999702","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","92171","0.0-2.0","26824.09999999404","","[{""page_index"":0,""viewing_time"":3333.9000000059605},{""page_index"":1,""viewing_time"":9953.39999999106},{""page_index"":2,""viewing_time"":10195.90000000596},{""page_index"":3,""viewing_time"":3340}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","99341","0.0-3.0-0.0-0.0","7168","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","103766","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":346.30000001192093},{""stimulus"":""blank"",""time"":647.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":683},{""stimulus"":""blank"",""time"":988.3000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1023.3000000119209},{""stimulus"":""blank"",""time"":1328.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1363.4000000059605},{""stimulus"":""blank"",""time"":1668.2000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1702.7000000029802},{""stimulus"":""blank"",""time"":2003.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2046.2000000029802},{""stimulus"":""blank"",""time"":2347.2000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2383.9000000059605},{""stimulus"":""blank"",""time"":2685.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2725.1000000089407},{""stimulus"":""blank"",""time"":3025.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3065.6000000089407},{""stimulus"":""blank"",""time"":3367.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3401.300000011921},{""stimulus"":""blank"",""time"":3702.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3744.2000000029802},{""stimulus"":""blank"",""time"":4047.2000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":4083.1000000089407},{""stimulus"":""blank"",""time"":4388.4000000059605}]","[{""key_press"":32,""rt"":2269.300000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png""}]","566.6000000089407","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","113597","0.0-3.0-0.0-2.0","9801.60000000894","","","<p>Your reaction time for this trial was 566.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","120323","0.0-3.0-1.0-0.0","6725.4000000059605","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","124747","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":344.69999998807907},{""stimulus"":""blank"",""time"":649.3999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":683.1999999880791},{""stimulus"":""blank"",""time"":988.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1022.8999999910593},{""stimulus"":""blank"",""time"":1323.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1364.7999999970198},{""stimulus"":""blank"",""time"":1665.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1705.8999999910593},{""stimulus"":""blank"",""time"":2006.3999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2045.3999999910593},{""stimulus"":""blank"",""time"":2350.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2385.5999999940395},{""stimulus"":""blank"",""time"":2687.2999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2721},{""stimulus"":""blank"",""time"":3023.3999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3061},{""stimulus"":""blank"",""time"":3364.8999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3402.699999988079},{""stimulus"":""blank"",""time"":3708},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3743.7999999970198},{""stimulus"":""blank"",""time"":4049.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":4084.3999999910593},{""stimulus"":""blank"",""time"":4389.5999999940395}]","[{""key_press"":32,""rt"":199.20000000298023,""stimulus"":""""},{""key_press"":32,""rt"":662.9000000059605,""stimulus"":""blank""},{""key_press"":32,""rt"":2503.2000000029802,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png""}]","457.80000001192093","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","128444","0.0-3.0-1.0-2.0","3694.2999999970198","","","<p>Your reaction time for this trial was 457.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","131333","0.0-3.0-2.0-0.0","2887.2000000029802","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","13","","","","","","","","","","","","","","","","","",""
