"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2661","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","10905","0.0-1.0","8080.099999964237","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","30842","0.0-2.0","19924.19999998808","","[{""page_index"":0,""viewing_time"":1311.4000000357628},{""page_index"":1,""viewing_time"":7710.399999976158},{""page_index"":2,""viewing_time"":8979.899999976158},{""page_index"":3,""viewing_time"":1922.1000000238419}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","37886","0.0-3.0-0.0-0.0","7043.699999988079","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","42308","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":350.80000001192093},{""stimulus"":""blank"",""time"":661.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":681.3000000119209},{""stimulus"":""blank"",""time"":991.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1021.6000000238419},{""stimulus"":""blank"",""time"":1333.9000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1361.199999988079},{""stimulus"":""blank"",""time"":1664},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1720.5},{""stimulus"":""blank"",""time"":2023.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2053.300000011921},{""stimulus"":""blank"",""time"":2363},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2380.400000035763},{""stimulus"":""blank"",""time"":2689.900000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2736.300000011921},{""stimulus"":""blank"",""time"":3048.400000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3060.699999988079},{""stimulus"":""blank"",""time"":3363.900000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3401.199999988079},{""stimulus"":""blank"",""time"":3709.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3742.199999988079},{""stimulus"":""blank"",""time"":4051.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4080.600000023842},{""stimulus"":""blank"",""time"":4395.199999988079}]","[{""key_press"":32,""rt"":2200.699999988079,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png""}]","480.19999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","48091","0.0-3.0-0.0-2.0","5773.699999988079","","","<p>Your reaction time for this trial was 480.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","50615","0.0-3.0-1.0-0.0","2523.900000035763","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","55042","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":345.7000000476837},{""stimulus"":""blank"",""time"":646.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":685.5},{""stimulus"":""blank"",""time"":996.4000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1027.9000000357628},{""stimulus"":""blank"",""time"":1337.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":1368.6000000238419},{""stimulus"":""blank"",""time"":1680.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1701.2000000476837},{""stimulus"":""blank"",""time"":2010.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2041.2000000476837},{""stimulus"":""blank"",""time"":2354.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2381.2000000476837},{""stimulus"":""blank"",""time"":2696.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2727.900000035763},{""stimulus"":""blank"",""time"":3040.400000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3071.100000023842},{""stimulus"":""blank"",""time"":3383},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3401.600000023842},{""stimulus"":""blank"",""time"":3710.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3741.2000000476837},{""stimulus"":""blank"",""time"":4052.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4083.300000011921},{""stimulus"":""blank"",""time"":4395.5}]","[{""key_press"":32,""rt"":646.3999999761581,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png""},{""key_press"":32,""rt"":1732.300000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png""}]","363.69999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","57762","0.0-3.0-1.0-2.0","2715.899999976158","","","<p>Your reaction time for this trial was 363.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","59934","0.0-3.0-2.0-0.0","2171.199999988079","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png","13","","","","","","","","","","","","","","","","","",""
