"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2724","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","11696","0.0-1.0","8782.400000095367","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","43084","0.0-2.0","31377.799999952316","","[{""page_index"":0,""viewing_time"":7627.099999904633},{""page_index"":1,""viewing_time"":5909.600000143051},{""page_index"":2,""viewing_time"":16078.899999856949},{""page_index"":3,""viewing_time"":1760.7000000476837}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","47210","0.0-3.0-0.0-0.0","4124.799999952316","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","51637","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":358.7999999523163},{""stimulus"":""blank"",""time"":679.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":681.7000000476837},{""stimulus"":""blank"",""time"":999.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1027.5999999046326},{""stimulus"":""blank"",""time"":1339.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1364},{""stimulus"":""blank"",""time"":1679.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1707.0999999046326},{""stimulus"":""blank"",""time"":2019.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2047},{""stimulus"":""blank"",""time"":2359.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2385.2999999523163},{""stimulus"":""blank"",""time"":2699.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2727.2000000476837},{""stimulus"":""blank"",""time"":3039.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":3064.2000000476837},{""stimulus"":""blank"",""time"":3379.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3409},{""stimulus"":""blank"",""time"":3719.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3747.2999999523163},{""stimulus"":""blank"",""time"":4059.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":4087.2000000476837},{""stimulus"":""blank"",""time"":4399.099999904633}]","[{""key_press"":32,""rt"":2096.199999809265,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png""}]","389.09999990463257","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","56004","0.0-3.0-0.0-2.0","4361.400000095367","","","<p>Your reaction time for this trial was 389.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","58365","0.0-3.0-1.0-0.0","2360.100000143051","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","62790","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":345.19999980926514},{""stimulus"":""blank"",""time"":664.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":684.1999998092651},{""stimulus"":""blank"",""time"":984.3999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":1022.0999999046326},{""stimulus"":""blank"",""time"":1324.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1375.8999998569489},{""stimulus"":""blank"",""time"":1684.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1704.5999999046326},{""stimulus"":""blank"",""time"":2014.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2042.0999999046326},{""stimulus"":""blank"",""time"":2354.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2382},{""stimulus"":""blank"",""time"":2684.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2722.2999999523163},{""stimulus"":""blank"",""time"":3034.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3064.0999999046326},{""stimulus"":""blank"",""time"":3374.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3402},{""stimulus"":""blank"",""time"":3714.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3742},{""stimulus"":""blank"",""time"":4054.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":4084.2999999523163},{""stimulus"":""blank"",""time"":4394.599999904633}]","[{""key_press"":32,""rt"":2770.0999999046326,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png""}]","388.09999990463257","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","65008","0.0-3.0-1.0-2.0","2215.300000190735","","","<p>Your reaction time for this trial was 388.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","67265","0.0-3.0-2.0-0.0","2256.199999809265","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png","13","","","","","","","","","","","","","","","","","",""
