"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2812","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","10261","0.0-1.0","7240.799999952316","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","42031","0.0-2.0","31766.299999952316","","[{""page_index"":0,""viewing_time"":3079.0999999046326},{""page_index"":1,""viewing_time"":13611.299999952316},{""page_index"":2,""viewing_time"":11617.800000190735},{""page_index"":3,""viewing_time"":3456}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","47125","0.0-3.0-0.0-0.0","5091","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","51548","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":372.59999990463257},{""stimulus"":""blank"",""time"":683.3999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":684.2000000476837},{""stimulus"":""blank"",""time"":997.8999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1021.7000000476837},{""stimulus"":""blank"",""time"":1330.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1361.7999999523163},{""stimulus"":""blank"",""time"":1677.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1702.0999999046326},{""stimulus"":""blank"",""time"":2006.8999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2041.5999999046326},{""stimulus"":""blank"",""time"":2352.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2381.7000000476837},{""stimulus"":""blank"",""time"":2684.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2723.2999999523163},{""stimulus"":""blank"",""time"":3031.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":3062.2999999523163},{""stimulus"":""blank"",""time"":3377.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3401.7999999523163},{""stimulus"":""blank"",""time"":3709.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3741.2000000476837},{""stimulus"":""blank"",""time"":4052.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":4082.0999999046326},{""stimulus"":""blank"",""time"":4383.599999904633}]","[{""key_press"":32,""rt"":3479.600000143051,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png""}]","417.30000019073486","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","58582","0.0-3.0-0.0-2.0","7025.099999904633","","","<p>Your reaction time for this trial was 417.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","61899","0.0-3.0-1.0-0.0","3316.2000000476837","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","66321","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":348.2999999523163},{""stimulus"":""blank"",""time"":663.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":682.7999999523163},{""stimulus"":""blank"",""time"":994.8999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1022},{""stimulus"":""blank"",""time"":1325.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1362.2999999523163},{""stimulus"":""blank"",""time"":1672.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1702},{""stimulus"":""blank"",""time"":2004.3999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2041.7999999523163},{""stimulus"":""blank"",""time"":2351.399999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2381.399999856949},{""stimulus"":""blank"",""time"":2694},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2721.899999856949},{""stimulus"":""blank"",""time"":3022.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3061.699999809265},{""stimulus"":""blank"",""time"":3364.399999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":3401.0999999046326},{""stimulus"":""blank"",""time"":3711.399999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3741.399999856949},{""stimulus"":""blank"",""time"":4043.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4081.2999999523163},{""stimulus"":""blank"",""time"":4389.899999856949}]","[{""key_press"":32,""rt"":2529.5,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png""}]","487.7000000476837","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","69699","0.0-3.0-1.0-2.0","3374.899999856949","","","<p>Your reaction time for this trial was 487.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","73693","0.0-3.0-2.0-0.0","3992.9000000953674","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","78115","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":347.90000009536743},{""stimulus"":""blank"",""time"":663.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":682.6000001430511},{""stimulus"":""blank"",""time"":994.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1021.2000000476837},{""stimulus"":""blank"",""time"":1324.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1361.5},{""stimulus"":""blank"",""time"":1675.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1700.9000000953674},{""stimulus"":""blank"",""time"":2005.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2041.2000000476837},{""stimulus"":""blank"",""time"":2354.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2382.2000000476837},{""stimulus"":""blank"",""time"":2687.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2721.2999999523163},{""stimulus"":""blank"",""time"":3033.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3061.600000143051},{""stimulus"":""blank"",""time"":3377.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":3401.2999999523163},{""stimulus"":""blank"",""time"":3710.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3741.7999999523163},{""stimulus"":""blank"",""time"":4055.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4081.100000143051},{""stimulus"":""blank"",""time"":4385.100000143051}]","[{""key_press"":32,""rt"":2132.899999856949,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png""}]","431.9999997615814","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","81856","0.0-3.0-2.0-2.0","3738.2000000476837","","","<p>Your reaction time for this trial was 432 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","84194","0.0-4.0","2337.2000000476837","","[{""page_index"":0,""viewing_time"":2336.7000000476837}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","86064","0.0-5.0-0.0-0.0","1869.0999999046326","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","14","90488","0.0-5.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":347.7999999523163},{""stimulus"":""blank"",""time"":662},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":681.2999999523163},{""stimulus"":""blank"",""time"":994.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1021.5999999046326},{""stimulus"":""blank"",""time"":1325},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1360.8999998569489},{""stimulus"":""blank"",""time"":1670.3999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1701.5999999046326},{""stimulus"":""blank"",""time"":2016.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2041.7000000476837},{""stimulus"":""blank"",""time"":2346},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2381.7000000476837},{""stimulus"":""blank"",""time"":2697.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2721.899999856949},{""stimulus"":""blank"",""time"":3029.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3061.2999999523163},{""stimulus"":""blank"",""time"":3374.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3401.5999999046326},{""stimulus"":""blank"",""time"":3705.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3741.399999856949},{""stimulus"":""blank"",""time"":4051.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":4081.2000000476837},{""stimulus"":""blank"",""time"":4382.399999856949}]","[{""key_press"":32,""rt"":2728.100000143051,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png""}]","346.40000009536743","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","post_TD","1","2381.7000000476837","2728.100000143051","slow","7","2","5f710cf8423f15749e53499b","","","","","",""
"","image-keyboard-response","15","94530","0.0-5.0-1.0-0.0","4037.2000000476837","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","16","98951","0.0-5.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":345.2000000476837},{""stimulus"":""blank"",""time"":658.6000001430511},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":683.1000001430511},{""stimulus"":""blank"",""time"":990.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1021.4000000953674},{""stimulus"":""blank"",""time"":1336.6000001430511},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1361.7999999523163},{""stimulus"":""blank"",""time"":1668.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1708.7000000476837},{""stimulus"":""blank"",""time"":2015.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2041.7000000476837},{""stimulus"":""blank"",""time"":2346.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2381.5},{""stimulus"":""blank"",""time"":2691.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2720.9000000953674},{""stimulus"":""blank"",""time"":3031.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3061.9000000953674},{""stimulus"":""blank"",""time"":3378.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3401.600000143051},{""stimulus"":""blank"",""time"":3708.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3741.2999999523163},{""stimulus"":""blank"",""time"":4054.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4082.600000143051},{""stimulus"":""blank"",""time"":4385.200000047684}]","[{""key_press"":32,""rt"":1754.0999999046326,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png""}]","392.2999999523163","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_TD","2","1361.7999999523163","1754.0999999046326","slow","4","1","5f710cf8423f15749e53499b","","","","","",""
"","image-keyboard-response","17","100566","0.0-5.0-2.0-0.0","1612.2000000476837","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","18","104989","0.0-5.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":347.09999990463257},{""stimulus"":""blank"",""time"":647.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":682.5},{""stimulus"":""blank"",""time"":995.8999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1021.7999999523163},{""stimulus"":""blank"",""time"":1329.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1361.5999999046326},{""stimulus"":""blank"",""time"":1664.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1701.2999999523163},{""stimulus"":""blank"",""time"":2012.8999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2041},{""stimulus"":""blank"",""time"":2347.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2381.7000000476837},{""stimulus"":""blank"",""time"":2693.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2721.2000000476837},{""stimulus"":""blank"",""time"":3022.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":3069.399999856949},{""stimulus"":""blank"",""time"":3370.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3402.5},{""stimulus"":""blank"",""time"":3714.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3741.5999999046326},{""stimulus"":""blank"",""time"":4044.899999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":4081.399999856949},{""stimulus"":""blank"",""time"":4388.799999952316}]","[{""key_press"":32,""rt"":3068,""stimulus"":""blank""}]","346.7999999523163","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","post_TD","3","2721.2000000476837","3068","slow","8","2","5f710cf8423f15749e53499b","","","","","",""
"","image-keyboard-response","19","105993","0.0-5.0-3.0-0.0","1002","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","20","110415","0.0-5.0-3.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":351.40000009536743},{""stimulus"":""blank"",""time"":665.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":681.2999999523163},{""stimulus"":""blank"",""time"":982},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1029.5},{""stimulus"":""blank"",""time"":1343.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1361.4000000953674},{""stimulus"":""blank"",""time"":1674.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1701.4000000953674},{""stimulus"":""blank"",""time"":2004.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2042.5},{""stimulus"":""blank"",""time"":2354.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2386.100000143051},{""stimulus"":""blank"",""time"":2699.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2721.2999999523163},{""stimulus"":""blank"",""time"":3030.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3061.7000000476837},{""stimulus"":""blank"",""time"":3376.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3401.4000000953674},{""stimulus"":""blank"",""time"":3705.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3741.2000000476837},{""stimulus"":""blank"",""time"":4052.100000143051},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4083.9000000953674},{""stimulus"":""blank"",""time"":4397.799999952316}]","[{""key_press"":32,""rt"":2357.0999999046326,""stimulus"":""blank""}]","314.59999990463257","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","post_TD","4","2042.5","2357.0999999046326","fast","6","3","5f710cf8423f15749e53499b","","","","","",""
"","image-keyboard-response","21","111458","0.0-5.0-4.0-0.0","1041","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","22","115880","0.0-5.0-4.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":351.2999999523163},{""stimulus"":""blank"",""time"":665.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":681.6999998092651},{""stimulus"":""blank"",""time"":983.1999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1031.0999999046326},{""stimulus"":""blank"",""time"":1331.8999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1361.1999998092651},{""stimulus"":""blank"",""time"":1675.3999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1701.0999999046326},{""stimulus"":""blank"",""time"":2004},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2041.5999999046326},{""stimulus"":""blank"",""time"":2350},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2381.5999999046326},{""stimulus"":""blank"",""time"":2697.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2722.399999856949},{""stimulus"":""blank"",""time"":3027.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3076.199999809265},{""stimulus"":""blank"",""time"":3389.399999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3401.0999999046326},{""stimulus"":""blank"",""time"":3705.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3741.399999856949},{""stimulus"":""blank"",""time"":4052.899999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4082},{""stimulus"":""blank"",""time"":4398.099999904633}]","[{""key_press"":32,""rt"":2021.4000000953674,""stimulus"":""blank""}]","320.30000019073486","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","post_TD","5","1701.0999999046326","2021.4000000953674","slow","5","2","5f710cf8423f15749e53499b","","","","","",""
"","image-keyboard-response","23","116662","0.0-5.0-5.0-0.0","778.7000000476837","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","13","","","","","","","","","","","","","","","","","",""
