"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2089","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","11640","0.0-1.0","9403.100000023842","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","49088","0.0-2.0","37447","","[{""page_index"":0,""viewing_time"":1857.2000000476837},{""page_index"":1,""viewing_time"":29650},{""page_index"":2,""viewing_time"":4379.699999928474},{""page_index"":3,""viewing_time"":1559.6000000238419}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","52416","0.0-3.0-0.0-0.0","3327.2999999523163","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","56839","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":351.2999999523163},{""stimulus"":""blank"",""time"":652.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":681.5},{""stimulus"":""blank"",""time"":982.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1021},{""stimulus"":""blank"",""time"":1322.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1360.8999999761581},{""stimulus"":""blank"",""time"":1661.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1701.6000000238419},{""stimulus"":""blank"",""time"":2002.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2041.7999999523163},{""stimulus"":""blank"",""time"":2342.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2381.100000023842},{""stimulus"":""blank"",""time"":2687.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2721.100000023842},{""stimulus"":""blank"",""time"":3022.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3061.7999999523163},{""stimulus"":""blank"",""time"":3362.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3401.100000023842},{""stimulus"":""blank"",""time"":3701.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3741.2999999523163},{""stimulus"":""blank"",""time"":4042.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":4082},{""stimulus"":""blank"",""time"":4382.399999976158}]","[{""key_press"":32,""rt"":1167.7999999523163,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png""}]","486.2999999523163","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","62271","0.0-3.0-0.0-2.0","5428","","","<p>Your reaction time for this trial was 486.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","65543","0.0-3.0-1.0-0.0","3271.100000023842","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","69966","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":341.5},{""stimulus"":""blank"",""time"":641.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":681},{""stimulus"":""blank"",""time"":981.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1021.2999999523163},{""stimulus"":""blank"",""time"":1321.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1360.8999999761581},{""stimulus"":""blank"",""time"":1661.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1701.5},{""stimulus"":""blank"",""time"":2002.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2041},{""stimulus"":""blank"",""time"":2341.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2381.100000023842},{""stimulus"":""blank"",""time"":2681.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2721},{""stimulus"":""blank"",""time"":3022.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3061.5},{""stimulus"":""blank"",""time"":3363.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3401.2000000476837},{""stimulus"":""blank"",""time"":3701.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3741.600000023842},{""stimulus"":""blank"",""time"":4042.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":4081.5},{""stimulus"":""blank"",""time"":4382.299999952316}]","[{""key_press"":32,""rt"":3186.600000023842,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png""}]","465.60000002384186","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","73258","0.0-3.0-1.0-2.0","3291.1999999284744","","","<p>Your reaction time for this trial was 465.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","75208","0.0-3.0-2.0-0.0","1949.3999999761581","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
