"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","2945","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","49169","0.0-1.0","45346.2999997139","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","110351","0.0-2.0","61161.800000190735","","[{""page_index"":0,""viewing_time"":2614.1000003814697},{""page_index"":1,""viewing_time"":19115.89999961853},{""page_index"":2,""viewing_time"":36756.300000190735},{""page_index"":3,""viewing_time"":2672.5}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","121032","0.0-3.0-0.0-0.0","10667.599999904633","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","125463","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":377.09999990463257},{""stimulus"":""blank"",""time"":685.3000001907349},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":693.8000001907349},{""stimulus"":""blank"",""time"":1001.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1027},{""stimulus"":""blank"",""time"":1341.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1369.7000002861023},{""stimulus"":""blank"",""time"":1675.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1709.4000000953674},{""stimulus"":""blank"",""time"":2018.2000002861023},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2043.4000000953674},{""stimulus"":""blank"",""time"":2351.300000190735},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2382.7000002861023},{""stimulus"":""blank"",""time"":2692.2000002861023},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2722.800000190735},{""stimulus"":""blank"",""time"":3038.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":3065.5999999046326},{""stimulus"":""blank"",""time"":3372.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3402.5999999046326},{""stimulus"":""blank"",""time"":3707.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3750.0999999046326},{""stimulus"":""blank"",""time"":4067.2000002861023},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":4083.7000002861023},{""stimulus"":""blank"",""time"":4401.300000190735}]","[{""key_press"":32,""rt"":2354.2000002861023,""stimulus"":""blank""}]","310.80000019073486","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","140026","0.0-3.0-0.0-2.0","14535.099999904633","","","<p>Your reaction time for this trial was 310.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","147569","0.0-3.0-1.0-0.0","7540.10000038147","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","151992","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":348.80000019073486},{""stimulus"":""blank"",""time"":663.1999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":688.5},{""stimulus"":""blank"",""time"":996.6999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1022.0999999046326},{""stimulus"":""blank"",""time"":1329.8000001907349},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1362.9000000953674},{""stimulus"":""blank"",""time"":1664.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1706.0999999046326},{""stimulus"":""blank"",""time"":2013},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2044.0999999046326},{""stimulus"":""blank"",""time"":2351.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2385.9000000953674},{""stimulus"":""blank"",""time"":2692.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2727.699999809265},{""stimulus"":""blank"",""time"":3033.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3067.199999809265},{""stimulus"":""blank"",""time"":3378.300000190735},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3404.4000000953674},{""stimulus"":""blank"",""time"":3712.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3744},{""stimulus"":""blank"",""time"":4051.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":4086},{""stimulus"":""blank"",""time"":4396.400000095367}]","[{""key_press"":32,""rt"":2752.199999809265,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png""}]","366.2999997138977","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","158722","0.0-3.0-1.0-2.0","6717.900000095367","","","<p>Your reaction time for this trial was 366.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","163151","0.0-3.0-2.0-0.0","4427.39999961853","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
