"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","9226","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","17089","0.0-1.0","7777.5","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","41360","0.0-2.0","24270.199999809265","","[{""page_index"":0,""viewing_time"":1755.8999998569489},{""page_index"":1,""viewing_time"":9149.700000047684},{""page_index"":2,""viewing_time"":11872.099999904633},{""page_index"":3,""viewing_time"":1492.1000001430511}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","47438","0.0-3.0-0.0-0.0","6077","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","51862","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":357.7999999523163},{""stimulus"":""blank"",""time"":670},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":685},{""stimulus"":""blank"",""time"":990.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":1022.7999999523163},{""stimulus"":""blank"",""time"":1336.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1368.5},{""stimulus"":""blank"",""time"":1672.3999998569489},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1704.7999999523163},{""stimulus"":""blank"",""time"":2016.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2048.2999999523163},{""stimulus"":""blank"",""time"":2364.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2387.899999856949},{""stimulus"":""blank"",""time"":2693.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2725.5999999046326},{""stimulus"":""blank"",""time"":3042.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3065.7000000476837},{""stimulus"":""blank"",""time"":3372.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3404.899999856949},{""stimulus"":""blank"",""time"":3706.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3763.5999999046326},{""stimulus"":""blank"",""time"":4064.399999856949},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":4087.5},{""stimulus"":""blank"",""time"":4400.5}]","[{""key_press"":32,""rt"":3130.5999999046326,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png""}]","405","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","59093","0.0-3.0-0.0-2.0","7224.800000190735","","","<p>Your reaction time for this trial was 405 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","63260","0.0-3.0-1.0-0.0","4166.300000190735","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","67681","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":353.2999999523163},{""stimulus"":""blank"",""time"":654.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":694.2000000476837},{""stimulus"":""blank"",""time"":1002.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1026.2999999523163},{""stimulus"":""blank"",""time"":1334.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1366.2000000476837},{""stimulus"":""blank"",""time"":1681.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1704.7999999523163},{""stimulus"":""blank"",""time"":2013.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2046},{""stimulus"":""blank"",""time"":2348.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2387.7999999523163},{""stimulus"":""blank"",""time"":2696.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2728.5999999046326},{""stimulus"":""blank"",""time"":3047.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3064.0999999046326},{""stimulus"":""blank"",""time"":3367.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3401.5},{""stimulus"":""blank"",""time"":3715.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3747.2999999523163},{""stimulus"":""blank"",""time"":4052.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4084.7999999523163},{""stimulus"":""blank"",""time"":4397.299999952316}]","[{""key_press"":32,""rt"":2740.699999809265,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png""}]","352.89999985694885","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","73681","0.0-3.0-1.0-2.0","5999.199999809265","","","<p>Your reaction time for this trial was 352.9 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","76935","0.0-3.0-2.0-0.0","3253.5999999046326","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","13","","","","","","","","","","","","","","","","","",""
