"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3377","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","40507","0.0-1.0","37038.2000002861","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","74847","0.0-2.0","34337.60000038147","","[{""page_index"":0,""viewing_time"":5135.700000286102},{""page_index"":1,""viewing_time"":14426},{""page_index"":2,""viewing_time"":12536.199999809265},{""page_index"":3,""viewing_time"":2238.300000190735}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","81552","0.0-3.0-0.0-0.0","6701.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","85975","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":353.69999980926514},{""stimulus"":""blank"",""time"":654.8000001907349},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":682.3000001907349},{""stimulus"":""blank"",""time"":985.6999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1022},{""stimulus"":""blank"",""time"":1323.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1362.0999999046326},{""stimulus"":""blank"",""time"":1666.3000001907349},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1703.6999998092651},{""stimulus"":""blank"",""time"":2007.3000001907349},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2045.9000000953674},{""stimulus"":""blank"",""time"":2351.300000190735},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2382.5999999046326},{""stimulus"":""blank"",""time"":2686.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2721.699999809265},{""stimulus"":""blank"",""time"":3022.300000190735},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3062.9000000953674},{""stimulus"":""blank"",""time"":3366.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3406.699999809265},{""stimulus"":""blank"",""time"":3711.800000190735},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3745.300000190735},{""stimulus"":""blank"",""time"":4045.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4082.5999999046326},{""stimulus"":""blank"",""time"":4383.5}]","[{""key_press"":32,""rt"":3934.4000000953674,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png""}]","527.7000002861023","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","92637","0.0-3.0-0.0-2.0","6655","","","<p>Your reaction time for this trial was 527.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","96911","0.0-3.0-1.0-0.0","4272.400000095367","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","101336","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":343.40000009536743},{""stimulus"":""blank"",""time"":645.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":682.2999997138977},{""stimulus"":""blank"",""time"":987.1999998092651},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1024},{""stimulus"":""blank"",""time"":1328.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1361.5},{""stimulus"":""blank"",""time"":1662},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":1703.5999999046326},{""stimulus"":""blank"",""time"":2004.2999997138977},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2046},{""stimulus"":""blank"",""time"":2348.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2382.199999809265},{""stimulus"":""blank"",""time"":2687.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2723.5999999046326},{""stimulus"":""blank"",""time"":3024.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3062.7999997138977},{""stimulus"":""blank"",""time"":3364.2999997138977},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3403.4000000953674},{""stimulus"":""blank"",""time"":3706.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3746.2999997138977},{""stimulus"":""blank"",""time"":4050.2999997138977},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":4082.9000000953674},{""stimulus"":""blank"",""time"":4383.699999809265}]","[{""key_press"":32,""rt"":2718.4000000953674,""stimulus"":""blank""}]","336.2000002861023","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","103844","0.0-3.0-1.0-2.0","2505.5","","","<p>Your reaction time for this trial was 336.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","108161","0.0-3.0-2.0-0.0","4315.900000095367","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
