"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3594","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","9506","0.0-1.0","5796.899999976158","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","39534","0.0-2.0","30026.19999998808","","[{""page_index"":0,""viewing_time"":1704.199999988079},{""page_index"":1,""viewing_time"":14398.800000011921},{""page_index"":2,""viewing_time"":11028.099999964237},{""page_index"":3,""viewing_time"":2894.400000035763}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","44620","0.0-3.0-0.0-0.0","5084.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","49048","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":362.5},{""stimulus"":""blank"",""time"":666.9000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":682.8000000119209},{""stimulus"":""blank"",""time"":996.6999999880791},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1029.800000011921},{""stimulus"":""blank"",""time"":1330.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1364.1000000238419},{""stimulus"":""blank"",""time"":1666.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1701.5},{""stimulus"":""blank"",""time"":2012.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2045.699999988079},{""stimulus"":""blank"",""time"":2347},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2394.5},{""stimulus"":""blank"",""time"":2695.900000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2729.300000011921},{""stimulus"":""blank"",""time"":3031.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3062.5},{""stimulus"":""blank"",""time"":3363.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":3401.199999988079},{""stimulus"":""blank"",""time"":3712.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3743.300000011921},{""stimulus"":""blank"",""time"":4044.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":4081.400000035763},{""stimulus"":""blank"",""time"":4396.699999988079}]","[{""key_press"":32,""rt"":1669.300000011921,""stimulus"":""blank""}]","305.19999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","55642","0.0-3.0-0.0-2.0","6588","","","<p>Your reaction time for this trial was 305.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","62183","0.0-3.0-1.0-0.0","6553.300000011921","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","66607","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":352.80000001192093},{""stimulus"":""blank"",""time"":656.6999999880791},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":687.1000000238419},{""stimulus"":""blank"",""time"":988},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1021.1999999880791},{""stimulus"":""blank"",""time"":1336.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1368.699999988079},{""stimulus"":""blank"",""time"":1670.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1702.199999988079},{""stimulus"":""blank"",""time"":2017.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2051.399999976158},{""stimulus"":""blank"",""time"":2367.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2385.100000023842},{""stimulus"":""blank"",""time"":2686.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2721.300000011921},{""stimulus"":""blank"",""time"":3021.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3084.399999976158},{""stimulus"":""blank"",""time"":3396.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3412.699999988079},{""stimulus"":""blank"",""time"":3716.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":3750.800000011921},{""stimulus"":""blank"",""time"":4066.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":4083.699999988079},{""stimulus"":""blank"",""time"":4399.699999988079}]","[{""key_press"":32,""rt"":2749.699999988079,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png""}]","364.5999999642372","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","69649","0.0-3.0-1.0-2.0","3039.300000011921","","","<p>Your reaction time for this trial was 364.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","74433","0.0-3.0-2.0-0.0","4783.399999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","78855","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":343.9000000357628},{""stimulus"":""blank"",""time"":659.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":691.5},{""stimulus"":""blank"",""time"":1007.9000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":1024.9000000357628},{""stimulus"":""blank"",""time"":1325.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1373.1000000238419},{""stimulus"":""blank"",""time"":1679.9000000357628},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":1708.1000000238419},{""stimulus"":""blank"",""time"":2008.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2041.199999988079},{""stimulus"":""blank"",""time"":2341.900000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2380.900000035763},{""stimulus"":""blank"",""time"":2691},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2722.600000023842},{""stimulus"":""blank"",""time"":3024.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3060.800000011921},{""stimulus"":""blank"",""time"":3375.400000035763},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":3406.400000035763},{""stimulus"":""blank"",""time"":3707.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3741.5},{""stimulus"":""blank"",""time"":4050.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":4081.100000023842},{""stimulus"":""blank"",""time"":4394.300000011921}]","[{""key_press"":32,""rt"":3113.800000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png""}]","391.19999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","84010","0.0-3.0-2.0-2.0","5152.599999964237","","","<p>Your reaction time for this trial was 391.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","86692","0.0-4.0","2681.800000011921","","[{""page_index"":0,""viewing_time"":2681.699999988079}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","96492","0.0-5.0-0.0-0.0","9798.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","14","100917","0.0-5.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":345.30000001192093},{""stimulus"":""blank"",""time"":660.3000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":693.6000000238419},{""stimulus"":""blank"",""time"":996.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1021.6999999880791},{""stimulus"":""blank"",""time"":1327},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1362.300000011921},{""stimulus"":""blank"",""time"":1677.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1709.5},{""stimulus"":""blank"",""time"":2009.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2043.5},{""stimulus"":""blank"",""time"":2344.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2381.600000023842},{""stimulus"":""blank"",""time"":2693.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2725.300000011921},{""stimulus"":""blank"",""time"":3041.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3061.199999988079},{""stimulus"":""blank"",""time"":3374.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":3407.600000023842},{""stimulus"":""blank"",""time"":3709.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3741.699999988079},{""stimulus"":""blank"",""time"":4043},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":4080.800000011921},{""stimulus"":""blank"",""time"":4394.199999988079}]","[{""key_press"":32,""rt"":2397.5,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png""}]","354","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","post_TD","1","2043.5","2397.5","slow","6","1","6102050090041d90dc5413f3","","","","","",""
"","image-keyboard-response","15","106146","0.0-5.0-1.0-0.0","5226.899999976158","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png","13","","","","","","","","","","","","","","","","","",""
