"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","4970","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","15649","0.0-1.0","10566.400000095367","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","51608","0.0-2.0","35957.10000038147","","[{""page_index"":0,""viewing_time"":3451.300000190735},{""page_index"":1,""viewing_time"":11946.599999904633},{""page_index"":2,""viewing_time"":18531.099999904633},{""page_index"":3,""viewing_time"":2027.8000001907349}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","64196","0.0-3.0-0.0-0.0","12586.299999713898","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","68624","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":370.2999997138977},{""stimulus"":""blank"",""time"":672.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":685.2999997138977},{""stimulus"":""blank"",""time"":985.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1027.8999996185303},{""stimulus"":""blank"",""time"":1329.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1368},{""stimulus"":""blank"",""time"":1668.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1702.3999996185303},{""stimulus"":""blank"",""time"":2016.7999997138977},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2050.2999997138977},{""stimulus"":""blank"",""time"":2360},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2383.699999809265},{""stimulus"":""blank"",""time"":2698.8999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2726},{""stimulus"":""blank"",""time"":3026.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3066.5},{""stimulus"":""blank"",""time"":3367.7999997138977},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3401.8999996185303},{""stimulus"":""blank"",""time"":3702.8999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3742.0999999046326},{""stimulus"":""blank"",""time"":4052.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4082.0999999046326},{""stimulus"":""blank"",""time"":4383.599999904633}]","[{""key_press"":32,""rt"":2400.4000000953674,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png""},{""key_press"":32,""rt"":3478.1000003814697,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png""}]","411.6000003814697","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","82661","0.0-3.0-0.0-2.0","14030","","","<p>Your reaction time for this trial was 411.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","130256","0.0-3.0-1.0-0.0","47594.2000002861","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","134689","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":354.69999980926514},{""stimulus"":""blank"",""time"":665.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":693.5},{""stimulus"":""blank"",""time"":1003.8999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1026.5},{""stimulus"":""blank"",""time"":1340.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1364.6999998092651},{""stimulus"":""blank"",""time"":1671.8999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1705.8999996185303},{""stimulus"":""blank"",""time"":2011.3999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2042.0999999046326},{""stimulus"":""blank"",""time"":2352.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2383.5},{""stimulus"":""blank"",""time"":2694.8999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2724.2999997138977},{""stimulus"":""blank"",""time"":3027.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3066.199999809265},{""stimulus"":""blank"",""time"":3372.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3404.5},{""stimulus"":""blank"",""time"":3719},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3746.2999997138977},{""stimulus"":""blank"",""time"":4050.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":4082.5},{""stimulus"":""blank"",""time"":4384.39999961853}]","[{""key_press"":32,""rt"":1726.2999997138977,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""}]","361.59999990463257","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","139945","0.0-3.0-1.0-2.0","5253.89999961853","","","<p>Your reaction time for this trial was 361.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","145878","0.0-3.0-2.0-0.0","5932","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","150300","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":344.7999997138977},{""stimulus"":""blank"",""time"":654.5999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":690.3999996185303},{""stimulus"":""blank"",""time"":995.3999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1023.5999999046326},{""stimulus"":""blank"",""time"":1328.3999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":1364.1999998092651},{""stimulus"":""blank"",""time"":1677.2999997138977},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1706.1999998092651},{""stimulus"":""blank"",""time"":2013.2999997138977},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2049},{""stimulus"":""blank"",""time"":2349.3999996185303},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2382.8999996185303},{""stimulus"":""blank"",""time"":2694.699999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2722},{""stimulus"":""blank"",""time"":3029.199999809265},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":3065.5999999046326},{""stimulus"":""blank"",""time"":3366},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3404.7999997138977},{""stimulus"":""blank"",""time"":3710.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3748.5},{""stimulus"":""blank"",""time"":4052.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":4084.2999997138977},{""stimulus"":""blank"",""time"":4394.89999961853}]","[{""key_press"":32,""rt"":3072.5,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png""}]","350.5","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","154300","0.0-3.0-2.0-2.0","3997.9000000953674","","","<p>Your reaction time for this trial was 350.5 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","156068","0.0-4.0","1767.7999997138977","","[{""page_index"":0,""viewing_time"":1767.5999999046326}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","158148","0.0-5.0-0.0-0.0","2079.199999809265","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","13","","","","","","","","","","","","","","","","","",""
