"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","25048","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","294456","0.0-1.0","269140.2999999523","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","314521","0.0-2.0","20062.899999976158","","[{""page_index"":0,""viewing_time"":2244.5},{""page_index"":1,""viewing_time"":8508.399999976158},{""page_index"":2,""viewing_time"":7987.300000071526},{""page_index"":3,""viewing_time"":1322.1999999284744}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","326535","0.0-3.0-0.0-0.0","12012.699999928474","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","330964","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":349.5},{""stimulus"":""blank"",""time"":656.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":682},{""stimulus"":""blank"",""time"":996.6000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1022.3999999761581},{""stimulus"":""blank"",""time"":1337.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1360.6999999284744},{""stimulus"":""blank"",""time"":1664.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1711.6000000238419},{""stimulus"":""blank"",""time"":2025.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2041.2999999523163},{""stimulus"":""blank"",""time"":2351.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2380.899999976158},{""stimulus"":""blank"",""time"":2681.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2729.899999976158},{""stimulus"":""blank"",""time"":3043.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3060.899999976158},{""stimulus"":""blank"",""time"":3371.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3401},{""stimulus"":""blank"",""time"":3715.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3741.100000023842},{""stimulus"":""blank"",""time"":4056.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":4080.600000023842},{""stimulus"":""blank"",""time"":4380.899999976158}]","[{""key_press"":32,""rt"":1260.2000000476837,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png""},{""key_press"":32,""rt"":3438.5,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png""}]","708.6000000238419","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","409046","0.0-3.0-0.0-2.0","78078.10000002384","","","<p>Your reaction time for this trial was 708.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","413328","0.0-3.0-1.0-0.0","4281.800000071526","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","417749","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":349.59999990463257},{""stimulus"":""blank"",""time"":659.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":681.0999999046326},{""stimulus"":""blank"",""time"":987.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1034.7999999523163},{""stimulus"":""blank"",""time"":1350.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1360.5},{""stimulus"":""blank"",""time"":1663.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":1700.6999999284744},{""stimulus"":""blank"",""time"":2005.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2041.5999999046326},{""stimulus"":""blank"",""time"":2348.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2380.399999976158},{""stimulus"":""blank"",""time"":2690.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2720.7999999523163},{""stimulus"":""blank"",""time"":3032.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3060.5999999046326},{""stimulus"":""blank"",""time"":3362.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3400.5999999046326},{""stimulus"":""blank"",""time"":3705.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":3740.7999999523163},{""stimulus"":""blank"",""time"":4046.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":4094.5},{""stimulus"":""blank"",""time"":4407.799999952316}]","[{""key_press"":32,""rt"":2390.8000000715256,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png""}]","349.200000166893","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","421956","0.0-3.0-1.0-2.0","4205.600000023842","","","<p>Your reaction time for this trial was 349.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","424733","0.0-3.0-2.0-0.0","2776.100000023842","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","429155","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":342.39999997615814},{""stimulus"":""blank"",""time"":654.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":681.1999999284744},{""stimulus"":""blank"",""time"":996.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1021.2999999523163},{""stimulus"":""blank"",""time"":1323.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1372},{""stimulus"":""blank"",""time"":1683.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":1702},{""stimulus"":""blank"",""time"":2014.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2041.3999999761581},{""stimulus"":""blank"",""time"":2344.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2380.5},{""stimulus"":""blank"",""time"":2685.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2720.5999999046326},{""stimulus"":""blank"",""time"":3031.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3063.0999999046326},{""stimulus"":""blank"",""time"":3376.0999999046326},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3401.1999999284744},{""stimulus"":""blank"",""time"":3702.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3741.0999999046326},{""stimulus"":""blank"",""time"":4043.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":4081},{""stimulus"":""blank"",""time"":4387.899999976158}]","[{""key_press"":32,""rt"":2063.2000000476837,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png""}]","361.2000000476837","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","432031","0.0-3.0-2.0-2.0","2875.2999999523163","","","<p>Your reaction time for this trial was 361.2 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","434954","0.0-4.0","2922","","[{""page_index"":0,""viewing_time"":2921.8000000715256}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","440656","0.0-5.0-0.0-0.0","5701.400000095367","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","14","445091","0.0-5.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":342.2000000476837},{""stimulus"":""blank"",""time"":655},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":687.2000000476837},{""stimulus"":""blank"",""time"":998.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":1021.2000000476837},{""stimulus"":""blank"",""time"":1331.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1361.2000000476837},{""stimulus"":""blank"",""time"":1673.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1701.5},{""stimulus"":""blank"",""time"":2002.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2049.3000000715256},{""stimulus"":""blank"",""time"":2361.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2380.7000000476837},{""stimulus"":""blank"",""time"":2688},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2721},{""stimulus"":""blank"",""time"":3030.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3061.399999976158},{""stimulus"":""blank"",""time"":3375.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3402},{""stimulus"":""blank"",""time"":3704.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":3750.7000000476837},{""stimulus"":""blank"",""time"":4059.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":4080.8000000715256},{""stimulus"":""blank"",""time"":4388.5}]","[{""key_press"":32,""rt"":1834.3999999761581,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png""}]","NaN","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png","post_TD","1","2380.7000000476837","","slow","7","1","6108649840bf2b927ef3905c","","","","","",""
"","image-keyboard-response","15","450304","0.0-5.0-1.0-0.0","5212.199999928474","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png","13","","","","","","","","","","","","","","","","","",""
