"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","9562","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","74844","0.0-1.0","65155.300000000745","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","193878","0.0-2.0","119031.5","","[{""page_index"":0,""viewing_time"":3025},{""page_index"":1,""viewing_time"":99458.59999999963},{""page_index"":2,""viewing_time"":13808.700000001118},{""page_index"":3,""viewing_time"":2738.7999999988824}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","201967","0.0-3.0-0.0-0.0","8088.299999998882","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","206389","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":351.6000000014901},{""stimulus"":""blank"",""time"":658.3000000007451},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":681},{""stimulus"":""blank"",""time"":996.4000000003725},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1021.1000000014901},{""stimulus"":""blank"",""time"":1335.7000000011176},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1360.9000000003725},{""stimulus"":""blank"",""time"":1673},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":1701.300000000745},{""stimulus"":""blank"",""time"":2012.4000000003725},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2043.300000000745},{""stimulus"":""blank"",""time"":2350.60000000149},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2381.5},{""stimulus"":""blank"",""time"":2689.4000000003725},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2721.10000000149},{""stimulus"":""blank"",""time"":3028.4000000003725},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":3060.60000000149},{""stimulus"":""blank"",""time"":3366},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":3400.4000000003725},{""stimulus"":""blank"",""time"":3705},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3741.4000000003725},{""stimulus"":""blank"",""time"":4044.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4090.7000000011176},{""stimulus"":""blank"",""time"":4398}]","[{""key_press"":32,""rt"":2454.0999999996275,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png""}]","410.7999999988824","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","216258","0.0-3.0-0.0-2.0","9866.700000001118","","","<p>Your reaction time for this trial was 410.8 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","221752","0.0-3.0-1.0-0.0","5493.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","226189","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":345.5},{""stimulus"":""blank"",""time"":653.1999999992549},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":681.5},{""stimulus"":""blank"",""time"":991.7999999988824},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":1020.9000000003725},{""stimulus"":""blank"",""time"":1330.2999999988824},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1361},{""stimulus"":""blank"",""time"":1668.2999999988824},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1700.2999999988824},{""stimulus"":""blank"",""time"":2006.4000000003725},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png"",""time"":2041.0999999996275},{""stimulus"":""blank"",""time"":2344.0999999996275},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2381.2999999988824},{""stimulus"":""blank"",""time"":2681.4000000003725},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2728.199999999255},{""stimulus"":""blank"",""time"":3035.699999999255},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3061},{""stimulus"":""blank"",""time"":3373.5999999996275},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3400.7999999988824},{""stimulus"":""blank"",""time"":3713.5999999996275},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3740.2999999988824},{""stimulus"":""blank"",""time"":4051.5999999996275},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":4080.4000000003725},{""stimulus"":""blank"",""time"":4390.299999998882}]","[{""key_press"":32,""rt"":2434.7999999988824,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png""}]","393.69999999925494","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_009_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","233314","0.0-3.0-1.0-2.0","7124.700000001118","","","<p>Your reaction time for this trial was 393.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","236943","0.0-3.0-2.0-0.0","3628.699999999255","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png","13","","","","","","","","","","","","","","","","","",""
