"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","1920","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","5915","0.0-1.0","3858.9000000059605","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","18778","0.0-2.0","12861","","[{""page_index"":0,""viewing_time"":1047.5},{""page_index"":1,""viewing_time"":6257.5},{""page_index"":2,""viewing_time"":4442.300000011921},{""page_index"":3,""viewing_time"":1113}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","22749","0.0-3.0-0.0-0.0","3970.199999988079","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","27171","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":351.30000001192093},{""stimulus"":""blank"",""time"":652.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":681.5999999940395},{""stimulus"":""blank"",""time"":982.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1022.1999999880791},{""stimulus"":""blank"",""time"":1323.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1361.800000011921},{""stimulus"":""blank"",""time"":1663.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1702},{""stimulus"":""blank"",""time"":2003.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2041.0999999940395},{""stimulus"":""blank"",""time"":2341.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2382.199999988079},{""stimulus"":""blank"",""time"":2684},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2721.800000011921},{""stimulus"":""blank"",""time"":3022.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3061.300000011921},{""stimulus"":""blank"",""time"":3363.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":3402.5},{""stimulus"":""blank"",""time"":3704.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3742.5},{""stimulus"":""blank"",""time"":4044.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":4082.699999988079},{""stimulus"":""blank"",""time"":4383.5}]","[{""key_press"":32,""rt"":1672.5,""stimulus"":""blank""},{""key_press"":32,""rt"":3664.5999999940395,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png""}]","310.69999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","31240","0.0-3.0-0.0-2.0","4064.399999976158","","","<p>Your reaction time for this trial was 310.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","33243","0.0-3.0-1.0-0.0","2002.300000011921","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","37665","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":341.80000001192093},{""stimulus"":""blank"",""time"":642.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":681.1999999880791},{""stimulus"":""blank"",""time"":982.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":1022.1999999880791},{""stimulus"":""blank"",""time"":1323},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1361.4000000059605},{""stimulus"":""blank"",""time"":1663.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1701.4000000059605},{""stimulus"":""blank"",""time"":2003.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":2041.800000011921},{""stimulus"":""blank"",""time"":2343.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":2382.5},{""stimulus"":""blank"",""time"":2684.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2721.5999999940395},{""stimulus"":""blank"",""time"":3023.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":3061.800000011921},{""stimulus"":""blank"",""time"":3363.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":3400.800000011921},{""stimulus"":""blank"",""time"":3703.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3741},{""stimulus"":""blank"",""time"":4042.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":4081},{""stimulus"":""blank"",""time"":4382.800000011921}]","[{""key_press"":32,""rt"":2708.5,""stimulus"":""blank""}]","326","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","39532","0.0-3.0-1.0-2.0","1865.0999999940395","","","<p>Your reaction time for this trial was 326 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","40744","0.0-3.0-2.0-0.0","1211.5999999940395","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png","13","","","","","","","","","","","","","","","","","",""
