"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","5076","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","11651","0.0-1.0","6392.899999976158","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","49732","0.0-2.0","38073.199999928474","","[{""page_index"":0,""viewing_time"":3268.5},{""page_index"":1,""viewing_time"":27264.099999904633},{""page_index"":2,""viewing_time"":5565.400000095367},{""page_index"":3,""viewing_time"":1974}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","53743","0.0-3.0-0.0-0.0","4009.600000023842","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","58165","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":357.10000002384186},{""stimulus"":""blank"",""time"":658.8000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":681.9000000953674},{""stimulus"":""blank"",""time"":982.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1022.6000000238419},{""stimulus"":""blank"",""time"":1324.3000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1361.8000000715256},{""stimulus"":""blank"",""time"":1663},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1702.3000000715256},{""stimulus"":""blank"",""time"":2003.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2041.6000000238419},{""stimulus"":""blank"",""time"":2342.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2381.8000000715256},{""stimulus"":""blank"",""time"":2682.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2721.600000023842},{""stimulus"":""blank"",""time"":3022.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3062.100000023842},{""stimulus"":""blank"",""time"":3363.4000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":3401.7000000476837},{""stimulus"":""blank"",""time"":3702.9000000953674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3741.3000000715256},{""stimulus"":""blank"",""time"":4042.3000000715256},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":4082},{""stimulus"":""blank"",""time"":4382.400000095367}]","[{""key_press"":32,""rt"":2509.7000000476837,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png""}]","468.10000002384186","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","117672","0.0-3.0-0.0-2.0","59498","","","<p>Your reaction time for this trial was 468.1 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","122630","0.0-3.0-1.0-0.0","4957","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","127052","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":341.7000000476837},{""stimulus"":""blank"",""time"":642.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":681.8999999761581},{""stimulus"":""blank"",""time"":983.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":1022},{""stimulus"":""blank"",""time"":1322.8999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1361.6000000238419},{""stimulus"":""blank"",""time"":1663.2000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1701.1000000238419},{""stimulus"":""blank"",""time"":2001.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":2041.3999999761581},{""stimulus"":""blank"",""time"":2342.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2381.2999999523163},{""stimulus"":""blank"",""time"":2682.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":2721.5},{""stimulus"":""blank"",""time"":3022.7999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3061.399999976158},{""stimulus"":""blank"",""time"":3362.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":3401.7999999523163},{""stimulus"":""blank"",""time"":3702.7000000476837},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3741.100000023842},{""stimulus"":""blank"",""time"":4042.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":4081.100000023842},{""stimulus"":""blank"",""time"":4382}]","[{""key_press"":32,""rt"":2464.2999999523163,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png""}]","422.89999997615814","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","131094","0.0-3.0-1.0-2.0","4037.2999999523163","","","<p>Your reaction time for this trial was 422.9 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","133711","0.0-3.0-2.0-0.0","2616.7000000476837","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","138133","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":341.89999997615814},{""stimulus"":""blank"",""time"":643.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":682.1000000238419},{""stimulus"":""blank"",""time"":983.3999999761581},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1021.1999999284744},{""stimulus"":""blank"",""time"":1322.2999999523163},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1361},{""stimulus"":""blank"",""time"":1662.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":1701.1000000238419},{""stimulus"":""blank"",""time"":2002.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2040.8999999761581},{""stimulus"":""blank"",""time"":2342.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_013_g.png"",""time"":2381.1999999284744},{""stimulus"":""blank"",""time"":2682.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2721.7999999523163},{""stimulus"":""blank"",""time"":3023.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3061.899999976158},{""stimulus"":""blank"",""time"":3362.1999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":3402.100000023842},{""stimulus"":""blank"",""time"":3703.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3741.600000023842},{""stimulus"":""blank"",""time"":4042.6999999284744},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":4081.6999999284744},{""stimulus"":""blank"",""time"":4383.600000023842}]","[{""key_press"":32,""rt"":3077.0999999046326,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png""}]","355.2999999523163","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","139782","0.0-3.0-2.0-2.0","1644.7000000476837","","","<p>Your reaction time for this trial was 355.3 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","141591","0.0-4.0","1808.8999999761581","","[{""page_index"":0,""viewing_time"":1808.6000000238419}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","143897","0.0-5.0-0.0-0.0","2305.4000000953674","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png","13","","","","","","","","","","","","","","","","","",""
