"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","14476","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","22937","0.0-1.0","8395","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","41680","0.0-2.0","18741","","[{""page_index"":0,""viewing_time"":2781},{""page_index"":1,""viewing_time"":8136},{""page_index"":2,""viewing_time"":5848},{""page_index"":3,""viewing_time"":1976}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","46463","0.0-3.0-0.0-0.0","4782","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","50957","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":357},{""stimulus"":""blank"",""time"":674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":715},{""stimulus"":""blank"",""time"":1031},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":1055},{""stimulus"":""blank"",""time"":1361},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1395},{""stimulus"":""blank"",""time"":1714},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1735},{""stimulus"":""blank"",""time"":2053},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2095},{""stimulus"":""blank"",""time"":2414},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":2434},{""stimulus"":""blank"",""time"":2754},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2774},{""stimulus"":""blank"",""time"":3093},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":3115},{""stimulus"":""blank"",""time"":3434},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3474},{""stimulus"":""blank"",""time"":3794},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3816},{""stimulus"":""blank"",""time"":4133},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4155},{""stimulus"":""blank"",""time"":4474}]","[{""key_press"":32,""rt"":3191,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png""}]","417","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","56207","0.0-3.0-0.0-2.0","5245","","","<p>Your reaction time for this trial was 417 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","59583","0.0-3.0-1.0-0.0","3375","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","64078","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":355},{""stimulus"":""blank"",""time"":674},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":695},{""stimulus"":""blank"",""time"":1014},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":1054},{""stimulus"":""blank"",""time"":1374},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":1395},{""stimulus"":""blank"",""time"":1714},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1735},{""stimulus"":""blank"",""time"":2054},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2074},{""stimulus"":""blank"",""time"":2394},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2415},{""stimulus"":""blank"",""time"":2724},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_002_g.png"",""time"":2765},{""stimulus"":""blank"",""time"":3084},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3105},{""stimulus"":""blank"",""time"":3424},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":3445},{""stimulus"":""blank"",""time"":3764},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3785},{""stimulus"":""blank"",""time"":4104},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":4145},{""stimulus"":""blank"",""time"":4444}]","[]","NaN","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","69039","0.0-3.0-1.0-2.0","4959","","","<p>Your reaction time for this trial was NaN ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","72840","0.0-3.0-2.0-0.0","3799","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png","13","","","","","","","","","","","","","","","","","",""
