within_triplet_counter,attention_state,participant,TD_rt,TD_trial_number,within_stream_position
1,slow,bbe2c,437.0,16.0,5
3,slow,bbe2c,169.0,24.0,9
3,fast,bbe2c,435.0,3.0,6
1,fast,bbe2c,463.0,4.0,5
3,slow,bbe2c,527.0,15.0,6
1,fast,bbe2c,554.0,1.0,4
2,fast,bbe2c,420.0,5.0,6
3,slow,bbe2c,385.0,18.0,7
2,fast,bbe2c,500.0,11.0,8
2,slow,bbe2c,412.0,14.0,5
2,slow,bbe2c,401.0,20.0,7
2,fast,bbe2c,499.0,2.0,5
1,fast,bbe2c,396.0,10.0,7
3,fast,bbe2c,404.0,9.0,8
1,slow,bbe2c,34.0,19.0,6
2,fast,bbe2c,442.0,8.0,7
2,slow,bbe2c,402.0,23.0,8
2,slow,bbe2c,428.0,17.0,6
3,fast,bbe2c,363.0,12.0,9
1,fast,bbe2c,396.0,7.0,6
3,fast,bbe2c,364.0,6.0,7
3,slow,bbe2c,78.0,21.0,8
1,slow,bbe2c,458.0,13.0,4
1,fast,738bd,372.2,16.0,5
1,fast,738bd,261.9,13.0,4
1,slow,738bd,346.9,7.0,6
3,slow,738bd,118.4,3.0,6
3,slow,738bd,333.6,6.0,7
2,slow,738bd,252.5,8.0,7
2,slow,738bd,367.2,11.0,8
2,slow,738bd,252.5,2.0,5
3,fast,738bd,40.40000001,15.0,6
1,slow,738bd,410.7,4.0,5
2,slow,738bd,88.40000002,5.0,6
3,fast,738bd,21.60000001,18.0,7
2,fast,738bd,295.9,17.0,6
3,slow,497b8,362.2000000001863,24.0,9
2,slow,497b8,341.90000000037253,20.0,7
2,fast,497b8,378.0,2.0,5
3,slow,497b8,393.2999999998138,21.0,8
3,slow,497b8,394.0000000009313,15.0,6
1,slow,497b8,415.09999999962747,13.0,4
2,slow,497b8,342.59999999962747,17.0,6
2,fast,497b8,364.2999999998138,5.0,6
2,fast,497b8,431.7999999998138,8.0,7
1,slow,497b8,402.0000000009313,16.0,5
3,fast,497b8,407.70000000111764,12.0,9
3,fast,497b8,422.6999999992548,3.0,6
1,slow,497b8,440.8999999994412,22.0,7
1,fast,497b8,465.0,1.0,4
3,fast,497b8,236.20000000018624,6.0,7
3,slow,497b8,417.09999999962747,18.0,7
2,slow,497b8,406.3999999994412,14.0,5
1,fast,497b8,347.2000000001862,7.0,6
1,fast,497b8,410.6000000014901,10.0,7
2,fast,497b8,407.9000000003725,11.0,8
1,fast,497b8,454.2999999998138,4.0,5
1,fast,1a97d,376.4000000953674,4.0,5
2,fast,1a97d,382.69999980926514,5.0,6
1,fast,1a97d,343.2999997138977,1.0,4
3,fast,1a97d,341.90000009536743,6.0,7
1,slow,1a97d,399.9000005722046,13.0,4
1,slow,1a97d,371.2999997138977,16.0,5
1,slow,1a97d,433.0,22.0,7
2,slow,1a97d,439.19999980926514,17.0,6
2,fast,1a97d,420.2999997138977,2.0,5
2,slow,1a97d,432.60000038146967,20.0,7
1,fast,1a97d,379.30000019073486,10.0,7
3,fast,1a97d,411.60000038146967,12.0,9
2,fast,1a97d,343.09999942779535,8.0,7
3,fast,1a97d,349.6999998092652,3.0,6
1,slow,1a97d,415.69999980926514,19.0,6
3,slow,1a97d,416.19999980926514,15.0,6
1,fast,1a97d,441.2999997138977,7.0,6
3,slow,1a97d,543.3000001907349,21.0,8
3,slow,1a97d,552.5,18.0,7
3,fast,1a97d,505.9000005722046,9.0,8
3,fast,73da5,381.3999999761581,9.0,8
3,fast,73da5,412.5,12.0,9
1,slow,73da5,350.30000001192093,19.0,6
1,fast,73da5,379.0,10.0,7
2,slow,73da5,355.2999999523163,17.0,6
2,fast,73da5,349.0999999642372,5.0,6
2,fast,73da5,374.6000000238418,2.0,5
2,slow,73da5,377.0,20.0,7
1,slow,73da5,362.9000000357628,16.0,5
1,fast,73da5,378.6999999880791,7.0,6
3,fast,73da5,355.2000000476837,3.0,6
1,slow,73da5,393.4000000357628,13.0,4
3,slow,73da5,338.30000001192093,24.0,9
1,slow,73da5,355.0,22.0,7
2,slow,73da5,348.30000001192093,23.0,8
3,slow,73da5,303.5,21.0,8
1,fast,73da5,341.69999998807907,1.0,4
2,fast,73da5,362.6000000238418,8.0,7
2,slow,73da5,356.5,14.0,5
1,slow,eddfd,135.70000000298023,4.0,5
1,fast,eddfd,407.2999999821186,16.0,5
3,fast,eddfd,567.8999999910593,24.0,9
1,fast,eddfd,387.89999999105936,13.0,4
3,fast,eddfd,468.5000000149012,21.0,8
1,slow,eddfd,727.5000000149013,10.0,7
3,slow,eddfd,439.7999999970197,12.0,9
2,fast,eddfd,563.3000000119208,17.0,6
2,fast,eddfd,548.1000000238419,23.0,8
2,fast,eddfd,494.59999999403954,14.0,5
1,slow,eddfd,483.5,7.0,6
2,slow,eddfd,500.59999999403954,11.0,8
3,slow,eddfd,391.8000000119209,6.0,7
3,slow,eddfd,412.2999999970197,3.0,6
3,fast,eddfd,408.09999999403954,18.0,7
1,slow,eddfd,450.90000000596046,1.0,4
2,slow,eddfd,441.10000000894064,2.0,5
1,fast,eddfd,523.6000000089407,19.0,6
3,slow,eddfd,405.09999999403954,9.0,8
2,slow,eddfd,464.2000000029802,8.0,7
1,fast,eddfd,519.9000000059605,22.0,7
2,slow,eddfd,283.29999999701977,5.0,6
3,fast,a13c2,376.8000000007451,12.0,9
1,fast,a13c2,448.8999999985099,7.0,6
2,fast,a13c2,411.5000000037253,2.0,5
3,slow,a13c2,385.10000000521535,21.0,8
1,slow,a13c2,395.6000000014901,16.0,5
2,fast,a13c2,300.3999999985099,8.0,7
1,fast,a13c2,274.9000000022352,10.0,7
3,fast,a13c2,343.0999999977648,9.0,8
2,slow,a13c2,375.4000000022352,23.0,8
3,slow,a13c2,366.2000000029802,24.0,9
2,slow,a13c2,402.9000000022352,14.0,5
2,fast,a13c2,348.5,11.0,8
1,slow,a13c2,346.5,19.0,6
3,slow,a13c2,356.9000000022352,18.0,7
3,fast,a13c2,357.3999999985099,3.0,6
2,slow,a13c2,370.9999999962747,17.0,6
3,slow,a13c2,340.30000000074506,15.0,6
2,slow,a13c2,376.6999999992548,20.0,7
1,fast,a13c2,377.4000000022352,1.0,4
1,fast,a13c2,415.3000000007451,4.0,5
1,slow,10bb2,474.09999999403954,19.0,6
3,fast,10bb2,446.60000000894064,6.0,7
1,slow,10bb2,433.59999999403954,22.0,7
3,slow,10bb2,455.7000000029802,15.0,6
2,slow,10bb2,511.4999999850989,20.0,7
3,fast,10bb2,423.2000000029802,3.0,6
1,fast,10bb2,431.0,4.0,5
1,slow,10bb2,434.90000000596046,16.0,5
1,fast,10bb2,415.9999999850989,7.0,6
1,fast,10bb2,445.7000000178814,10.0,7
2,fast,10bb2,441.5,8.0,7
3,slow,10bb2,381.59999997913843,18.0,7
2,slow,10bb2,429.1999999880791,23.0,8
1,slow,10bb2,511.5,13.0,4
2,fast,10bb2,427.40000000596046,11.0,8
2,slow,10bb2,428.9999999850989,14.0,5
2,fast,10bb2,435.5,2.0,5
3,fast,10bb2,466.6999999880791,12.0,9
3,slow,10bb2,440.4999999850989,21.0,8
2,fast,10bb2,531.4000000059605,5.0,6
