"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","90504","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","109849","0.0-1.0","19172.40000000596","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","135449","0.0-2.0","25597.5","","[{""page_index"":0,""viewing_time"":1166.300000011921},{""page_index"":1,""viewing_time"":7798.9000000059605},{""page_index"":2,""viewing_time"":14856.09999999404},{""page_index"":3,""viewing_time"":1774.800000011921}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","139619","0.0-3.0-0.0-0.0","4168.9000000059605","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","144041","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_014_g.png"",""time"":363.89999997615814},{""stimulus"":""blank"",""time"":667.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":681.3999999761581},{""stimulus"":""blank"",""time"":996.7999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1027},{""stimulus"":""blank"",""time"":1339},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1361.199999988079},{""stimulus"":""blank"",""time"":1666.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":1702.199999988079},{""stimulus"":""blank"",""time"":2010.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2041.2999999821186},{""stimulus"":""blank"",""time"":2355.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2382},{""stimulus"":""blank"",""time"":2683},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2721.199999988079},{""stimulus"":""blank"",""time"":3024.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3062.399999976158},{""stimulus"":""blank"",""time"":3370.7999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3401.5},{""stimulus"":""blank"",""time"":3715},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":3740.899999976158},{""stimulus"":""blank"",""time"":4042.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":4082.399999976158},{""stimulus"":""blank"",""time"":4390.5}]","[{""key_press"":32,""rt"":3780.9000000059605,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png""}]","379.40000000596046","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","149105","0.0-3.0-0.0-2.0","5059.5","","","<p>Your reaction time for this trial was 379.4 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","161035","0.0-3.0-1.0-0.0","11926.600000023842","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","165458","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":348},{""stimulus"":""blank"",""time"":648.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":682.0999999940395},{""stimulus"":""blank"",""time"":982.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_020_g.png"",""time"":1031.0999999940395},{""stimulus"":""blank"",""time"":1331.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":1362.800000011921},{""stimulus"":""blank"",""time"":1664.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1700.9000000059605},{""stimulus"":""blank"",""time"":2013.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":2043.9000000059605},{""stimulus"":""blank"",""time"":2345.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":2392},{""stimulus"":""blank"",""time"":2706.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":2721.9000000059605},{""stimulus"":""blank"",""time"":3024},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3061.5999999940395},{""stimulus"":""blank"",""time"":3373},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3403.199999988079},{""stimulus"":""blank"",""time"":3707.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3742},{""stimulus"":""blank"",""time"":4056.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":4083},{""stimulus"":""blank"",""time"":4391.699999988079}]","[{""key_press"":32,""rt"":3067.9000000059605,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png""}]","346","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","171089","0.0-3.0-1.0-2.0","5625.799999982119","","","<p>Your reaction time for this trial was 346 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","173340","0.0-3.0-2.0-0.0","2250.5999999940395","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png","13","","","","","","","","","","","","","","","","","",""
