"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","3035","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","21468","0.0-1.0","18317.29999999702","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","45825","0.0-2.0","24354.5","","[{""page_index"":0,""viewing_time"":2405.3999999910593},{""page_index"":1,""viewing_time"":8679.60000000894},{""page_index"":2,""viewing_time"":11176.39999999106},{""page_index"":3,""viewing_time"":2091.7000000029802}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","50879","0.0-3.0-0.0-0.0","5052.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","55302","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":351.5},{""stimulus"":""blank"",""time"":652.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":688},{""stimulus"":""blank"",""time"":994.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":1028.3999999910593},{""stimulus"":""blank"",""time"":1337.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":1361.699999988079},{""stimulus"":""blank"",""time"":1670.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1703},{""stimulus"":""blank"",""time"":2011.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2045.199999988079},{""stimulus"":""blank"",""time"":2345.8999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":2388},{""stimulus"":""blank"",""time"":2690.8999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2728.2999999970198},{""stimulus"":""blank"",""time"":3031.3999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3061.8999999910593},{""stimulus"":""blank"",""time"":3369.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png"",""time"":3402.7999999970198},{""stimulus"":""blank"",""time"":3711.3999999910593},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3745.199999988079},{""stimulus"":""blank"",""time"":4052.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4087.2999999970198},{""stimulus"":""blank"",""time"":4396.199999988079}]","[{""key_press"":32,""rt"":3878.2000000029802,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png""}]","475.40000000596046","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_017_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","59561","0.0-3.0-0.0-2.0","4254.5","","","<p>Your reaction time for this trial was 475.4 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","64561","0.0-3.0-1.0-0.0","4999","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","68986","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":341.40000000596046},{""stimulus"":""blank"",""time"":649},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_018_g.png"",""time"":681},{""stimulus"":""blank"",""time"":985.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1027.6000000089407},{""stimulus"":""blank"",""time"":1330.1000000089407},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_011_g.png"",""time"":1362.9000000059605},{""stimulus"":""blank"",""time"":1673},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1706.2000000029802},{""stimulus"":""blank"",""time"":2020.7000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png"",""time"":2046.2999999970198},{""stimulus"":""blank"",""time"":2354.7999999970198},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png"",""time"":2380.7999999970198},{""stimulus"":""blank"",""time"":2688.7000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":2722.7999999970198},{""stimulus"":""blank"",""time"":3031},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3065.2999999970198},{""stimulus"":""blank"",""time"":3371.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png"",""time"":3405.1000000089407},{""stimulus"":""blank"",""time"":3713.6000000089407},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":3747.4000000059605},{""stimulus"":""blank"",""time"":4055.2000000029802},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":4088},{""stimulus"":""blank"",""time"":4396.5}]","[{""key_press"":32,""rt"":2497.8999999910593,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_003_g.png""},{""key_press"":32,""rt"":3534.8999999910593,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_019_g.png""}]","451.59999999403954","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","72358","0.0-3.0-1.0-2.0","3369.5","","","<p>Your reaction time for this trial was 451.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","75537","0.0-3.0-2.0-0.0","3177.4000000059605","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_015_g.png","13","","","","","","","","","","","","","","","","","",""
